,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,threshold,adj_p_signi,thr_signi
ABI3,1.83778486048177e-79,2.73864941542705,0.736,0.142,2.52033815766469e-75,5,ABI3,Up,Highly,Up_Highly
SAT1.5,1.92621735422198e-79,2.27906700287492,0.994,0.562,2.64161447958002e-75,5,SAT1,Up,Highly,Up_Highly
CTD-2006K23.1,5.0733397733085e-79,4.39633533446527,0.283,0.015,6.95757816511528e-75,5,CTD-2006K23.1,Up,Highly,Up_Highly
PSAP.5,1.33235356583382e-78,2.09804450198853,0.994,0.475,1.82718968018449e-74,5,PSAP,Up,Highly,Up_Highly
BID.1,3.69762960818614e-78,2.47932837251327,0.767,0.17,5.07092924466648e-74,5,BID,Up,Highly,Up_Highly
FTH1.5,4.93996454791478e-77,2.12122988074449,1,0.987,6.77466738101034e-73,5,FTH1,Up,Highly,Up_Highly
CTSS.4,2.23667961306247e-76,2.19824190443868,1,0.487,3.06738242135388e-72,5,CTSS,Up,Highly,Up_Highly
BRI3.2,5.44743463617964e-76,2.24230632895856,0.78,0.167,7.47061186005676e-72,5,BRI3,Up,Highly,Up_Highly
S100A11.4,9.482181101702e-76,2.09841238162357,0.987,0.497,1.30038631628741e-71,5,S100A11,Up,Highly,Up_Highly
C19orf38.1,1.35566683283343e-75,2.51724205341563,0.541,0.075,1.85916149454776e-71,5,C19orf38,Up,Highly,Up_Highly
CAMK1,2.45214289644171e-75,3.16546043438907,0.396,0.038,3.36286876818016e-71,5,CAMK1,Up,Highly,Up_Highly
TCF7L2,5.60140830256415e-75,3.73598326920886,0.283,0.017,7.68177134613647e-71,5,TCF7L2,Up,Highly,Up_Highly
CFP.2,1.07285815619198e-73,1.99201838578152,0.792,0.171,1.47131767540168e-69,5,CFP,Up,Highly,Up_Highly
CST3.5,1.14448391852388e-72,1.9367733550207,1,0.36,1.56954524586365e-68,5,CST3,Up,Highly,Up_Highly
TYMP.5,2.94016327285781e-71,1.76154436349812,0.969,0.309,4.03213991239721e-67,5,TYMP,Up,Highly,Up_Highly
PTP4A3,2.66141477307752e-69,3.24913005515753,0.333,0.028,3.64986421979851e-65,5,PTP4A3,Up,Highly,Up_Highly
FTL.4,3.91094899748428e-69,2.0371510804374,1,0.987,5.36347545514994e-65,5,FTL,Up,Highly,Up_Highly
TYROBP.5,2.08262014637773e-68,1.81551990397107,1,0.359,2.85610526874242e-64,5,TYROBP,Up,Highly,Up_Highly
FAM110A,1.43409633878402e-66,3.20390081474,0.434,0.055,1.96671971900841e-62,5,FAM110A,Up,Highly,Up_Highly
FCGR2A.1,7.10006400527963e-66,2.2859549951091,0.459,0.06,9.73702777684049e-62,5,FCGR2A,Up,Highly,Up_Highly
FGL2.1,1.7367003027686e-65,1.97301335267646,0.572,0.098,2.38171079521685e-61,5,FGL2,Up,Highly,Up_Highly
OAZ1.4,3.35766009727711e-65,1.41123715751505,1,0.902,4.60469505740583e-61,5,OAZ1,Up,Highly,Up_Highly
NPC2.5,3.68548025724083e-65,1.73734783904738,0.962,0.381,5.05426762478007e-61,5,NPC2,Up,Highly,Up_Highly
APOBEC3A.1,5.86110439565433e-64,2.33264792722515,0.56,0.096,8.03791856820035e-60,5,APOBEC3A,Up,Highly,Up_Highly
UNC119,8.20492743666682e-63,2.38502825257352,0.503,0.077,1.12522374866449e-58,5,UNC119,Up,Highly,Up_Highly
FGR.2,1.10585332576662e-62,2.11965596996002,0.755,0.179,1.51656725095634e-58,5,FGR,Up,Highly,Up_Highly
NINJ1.1,2.59612566345559e-62,2.3381207925391,0.623,0.125,3.56032673486299e-58,5,NINJ1,Up,Highly,Up_Highly
HSBP1.1,1.35890815018414e-61,2.31066085602003,0.629,0.131,1.86360663716253e-57,5,HSBP1,Up,Highly,Up_Highly
RPL13.2,1.38086907288303e-61,-1.12735280576447,1,0.997,1.89372384655179e-57,5,RPL13,Down,Highly,Down_Highly
FAM26F.5,1.46547612962135e-61,2.08097518054794,0.755,0.193,2.00975396416271e-57,5,FAM26F,Up,Highly,Up_Highly
TNFRSF1B.1,3.54015316198086e-61,1.83327783469859,0.604,0.111,4.85496604634055e-57,5,TNFRSF1B,Up,Highly,Up_Highly
CD300LF,4.63000866042746e-61,2.77516287378779,0.365,0.041,6.34959387691022e-57,5,CD300LF,Up,Highly,Up_Highly
CDA.1,1.41312897536817e-60,1.80772104037021,0.61,0.116,1.93796507681991e-56,5,CDA,Up,Highly,Up_Highly
S100A4.3,1.73449319129804e-60,1.52504895034247,1,0.801,2.37868396254613e-56,5,S100A4,Up,Highly,Up_Highly
SLC7A7.1,4.62805888125492e-60,2.09898513105236,0.579,0.107,6.346919949753e-56,5,SLC7A7,Up,Highly,Up_Highly
EMR2,5.8984342958157e-60,3.4408996744909,0.283,0.024,8.08911279328165e-56,5,EMR2,Up,Highly,Up_Highly
RPL3.3,9.59051343331067e-59,-1.2620013463311,0.994,0.995,1.31524301224423e-54,5,RPL3,Down,Highly,Down_Highly
PLAUR.1,3.07046501424879e-58,2.04050758117028,0.541,0.094,4.21083572054079e-54,5,PLAUR,Up,Highly,Up_Highly
CUX1,3.95061957191057e-58,2.71591871676678,0.377,0.046,5.41787968091815e-54,5,CUX1,Up,Highly,Up_Highly
RPL13A.4,1.38583237569621e-57,-1.05762831526101,1,0.999,1.90053052002979e-53,5,RPL13A,Down,Highly,Down_Highly
AP2A1,2.58256506282815e-57,2.50579952310164,0.39,0.049,3.54172972716253e-53,5,AP2A1,Up,Highly,Up_Highly
FAM49A,4.12318822948087e-57,2.82876016997217,0.321,0.033,5.65454033791006e-53,5,FAM49A,Up,Highly,Up_Highly
LGALS1.5,9.69023388349478e-57,1.58883520794455,0.987,0.443,1.32891867478247e-52,5,LGALS1,Up,Highly,Up_Highly
ACTB.3,8.95559655213393e-55,1.01351085741337,0.994,0.991,1.22817051115965e-50,5,ACTB,Up,Highly,Up_Highly
RPS18.4,1.62116855658849e-54,-1.08698446866705,0.994,0.996,2.22327055850545e-50,5,RPS18,Down,Highly,Down_Highly
RPS3.3,1.75508715934188e-54,-1.15803211483131,0.994,0.994,2.40692653032145e-50,5,RPS3,Down,Highly,Down_Highly
ADA,3.86976232131844e-54,2.32268983388661,0.497,0.088,5.30699204745612e-50,5,ADA,Up,Highly,Up_Highly
CPPED1.1,5.48088153429126e-54,2.53261670040087,0.472,0.079,7.51648093612703e-50,5,CPPED1,Up,Highly,Up_Highly
ARPC3.5,1.19891698998706e-53,1.27353558876353,0.994,0.8,1.64419476006825e-49,5,ARPC3,Up,Highly,Up_Highly
LYST,3.81580569195883e-52,2.06932818866217,0.522,0.098,5.23299592595233e-48,5,LYST,Up,Highly,Up_Highly
TMSB4X.3,2.12571862392654e-51,0.668000660046649,1,1,2.91521052085286e-47,5,TMSB4X,Up,Highly,Up_Highly
GPBAR1,4.94791482757225e-51,2.61759917652695,0.352,0.046,6.78557039453259e-47,5,GPBAR1,Up,Highly,Up_Highly
SLC11A1.1,1.12085916438095e-50,2.24336032954866,0.428,0.068,1.53714625803204e-46,5,SLC11A1,Up,Highly,Up_Highly
TBXAS1.1,2.74890753817769e-49,2.33936202887938,0.484,0.092,3.76985179785688e-45,5,TBXAS1,Up,Highly,Up_Highly
S100A6.4,4.8867628859347e-49,1.31095419448515,0.994,0.768,6.70170662177085e-45,5,S100A6,Up,Highly,Up_Highly
ANXA5.4,6.67500266785577e-49,1.83670473855022,0.799,0.274,9.1540986586974e-45,5,ANXA5,Up,Highly,Up_Highly
PYCARD.5,9.48268826025878e-49,1.8131729083709,0.893,0.337,1.30045586801189e-44,5,PYCARD,Up,Highly,Up_Highly
VASP.4,1.04639099723213e-48,1.71762289561931,0.774,0.242,1.43502061360415e-44,5,VASP,Up,Highly,Up_Highly
RHOB.1,1.87425526325897e-48,2.00214805338959,0.522,0.104,2.57035366803336e-44,5,RHOB,Up,Highly,Up_Highly
ADRBK1,1.93944799032444e-48,2.19602811016797,0.44,0.076,2.65975897393094e-44,5,ADRBK1,Up,Highly,Up_Highly
ASAH1.5,2.71167721130811e-48,2.09697640049298,0.698,0.216,3.71879412758794e-44,5,ASAH1,Up,Highly,Up_Highly
NAAA.1,3.56860708016716e-48,1.91183817661364,0.629,0.151,4.89398774974125e-44,5,NAAA,Up,Highly,Up_Highly
YBX1.3,3.74687864046921e-48,1.10799161537704,0.994,0.801,5.13846936753947e-44,5,YBX1,Up,Highly,Up_Highly
STX11.1,6.35902096113386e-48,1.73663799473464,0.522,0.108,8.72076134609898e-44,5,STX11,Up,Highly,Up_Highly
SLC16A3,6.53275059456246e-48,2.3860008579328,0.365,0.054,8.95901416538296e-44,5,SLC16A3,Up,Highly,Up_Highly
TKT.5,1.47304707954023e-47,1.63205090103816,0.855,0.318,2.02013676488147e-43,5,TKT,Up,Highly,Up_Highly
CD86,3.7886117320305e-47,2.87968302120158,0.314,0.04,5.19570212930663e-43,5,CD86,Up,Highly,Up_Highly
CASP1.3,3.98893123142477e-47,1.85734547847709,0.748,0.241,5.47042029077594e-43,5,CASP1,Up,Highly,Up_Highly
MAPKAPK3,4.34517405074141e-47,2.17759445136015,0.491,0.095,5.95897169318677e-43,5,MAPKAPK3,Up,Highly,Up_Highly
SLC2A6,1.92195228958565e-46,2.80803194899732,0.283,0.032,2.63576536993776e-42,5,SLC2A6,Up,Highly,Up_Highly
CARD16.3,2.85089829455819e-46,1.68488222444602,0.78,0.255,3.9097219211571e-42,5,CARD16,Up,Highly,Up_Highly
MPEG1.1,2.55754750691968e-45,1.9555526900226,0.459,0.086,3.50742065098965e-41,5,MPEG1,Up,Highly,Up_Highly
RPS8.3,8.7246399642176e-45,-1.06032315309828,1,0.986,1.1964971246928e-40,5,RPS8,Down,Highly,Down_Highly
RPL32.3,1.23976510157525e-44,-0.868091414675907,0.994,0.996,1.7002138603003e-40,5,RPL32,Down,Highly,Down_Highly
TCIRG1,1.25090341503221e-44,2.10703236157283,0.434,0.078,1.71548894337518e-40,5,TCIRG1,Up,Highly,Up_Highly
FKBP1A.5,1.53175006478636e-44,1.60403756527982,0.899,0.434,2.10064203884801e-40,5,FKBP1A,Up,Highly,Up_Highly
HLA-DPA1.5,1.66503735673862e-44,1.26515713114896,0.975,0.461,2.28343223103135e-40,5,HLA-DPA1,Up,Highly,Up_Highly
NEAT1.5,3.3142885577194e-44,1.42284790184737,0.962,0.617,4.54521532805638e-40,5,NEAT1,Up,Highly,Up_Highly
RXRA,3.49307184992348e-44,3.14940534525345,0.302,0.039,4.79039873498506e-40,5,RXRA,Up,Highly,Up_Highly
RPS6.2,4.28385937507309e-44,-0.973239910833597,1,0.995,5.87488474697523e-40,5,RPS6,Down,Highly,Down_Highly
RPLP2.3,7.51006163195022e-44,-0.980804125531487,0.994,0.991,1.02992985220565e-39,5,RPLP2,Down,Highly,Down_Highly
RGS2.5,1.35421193425182e-43,1.72679572455524,0.767,0.245,1.85716624663295e-39,5,RGS2,Up,Highly,Up_Highly
CD300E,1.96744878291835e-43,2.35673740066563,0.321,0.045,2.69815926089423e-39,5,CD300E,Up,Highly,Up_Highly
RPSA.4,3.0008682465683e-43,-1.4336584202735,0.937,0.954,4.11539071334376e-39,5,RPSA,Down,Highly,Down_Highly
C10orf54.4,3.46592900634322e-43,1.53488714484462,0.849,0.34,4.75317503929909e-39,5,C10orf54,Up,Highly,Up_Highly
RPL23A.4,4.91049157557049e-43,-1.04903113283104,0.987,0.99,6.73424814673737e-39,5,RPL23A,Down,Highly,Down_Highly
CTSC.4,1.23783828033333e-42,1.8542320473492,0.73,0.239,1.69757141764913e-38,5,CTSC,Up,Highly,Up_Highly
LY6E.4,1.27990533689083e-42,1.31298680815877,0.956,0.646,1.75526217901208e-38,5,LY6E,Up,Highly,Up_Highly
RHOG.3,1.56681588943057e-42,1.40013972819233,0.887,0.359,2.14873131076509e-38,5,RHOG,Up,Highly,Up_Highly
MYL6.3,2.337760243497e-42,1.01344524760592,1,0.84,3.20600439793179e-38,5,MYL6,Up,Highly,Up_Highly
RPS27A.4,3.42985158615953e-42,-1.41525438031475,0.956,0.973,4.70369846525918e-38,5,RPS27A,Down,Highly,Down_Highly
ARRB1,4.01477830086753e-42,2.7752023206293,0.258,0.03,5.50586696180973e-38,5,ARRB1,Up,Highly,Up_Highly
UNC93B1,4.07439768259503e-42,2.02180657439962,0.384,0.065,5.58762898191082e-38,5,UNC93B1,Up,Highly,Up_Highly
PRELID1.4,4.16553208472051e-42,1.52155919751465,0.931,0.436,5.71261070098571e-38,5,PRELID1,Up,Highly,Up_Highly
CD300C,5.37918259647724e-42,2.44971488273,0.277,0.034,7.37701101280889e-38,5,CD300C,Up,Highly,Up_Highly
RPL19.2,6.91882083281407e-42,-0.810767804011411,0.994,0.994,9.48847089012121e-38,5,RPL19,Down,Highly,Down_Highly
BLVRA.1,1.88176409230482e-41,1.51233598340869,0.597,0.158,2.58065127618683e-37,5,BLVRA,Up,Highly,Up_Highly
LILRA2,2.51690389338852e-41,2.50953669609431,0.258,0.03,3.45168199939301e-37,5,LILRA2,Up,Highly,Up_Highly
INSIG1,2.74487152548038e-41,2.3716401649667,0.34,0.053,3.7643168100438e-37,5,INSIG1,Up,Highly,Up_Highly
VMP1,5.46638352763122e-41,2.03875260238153,0.497,0.113,7.49659836979346e-37,5,VMP1,Up,Highly,Up_Highly
RPL31.3,6.21709243196789e-41,-1.16859469410321,0.962,0.972,8.52612056120077e-37,5,RPL31,Down,Highly,Down_Highly
ARHGEF40,3.88765200946016e-40,2.56271690065482,0.289,0.04,5.33152596577367e-36,5,ARHGEF40,Up,Highly,Up_Highly
RPS27.4,4.23296838020265e-40,-1.02744499735312,1,0.993,5.80509283660991e-36,5,RPS27,Down,Highly,Down_Highly
TNFSF10.1,5.2555416847625e-40,2.01200021479104,0.648,0.187,7.20744986648329e-36,5,TNFSF10,Up,Highly,Up_Highly
HN1.4,6.73530548219317e-40,1.94566534086394,0.686,0.215,9.23679793827972e-36,5,HN1,Up,Highly,Up_Highly
SRGN.4,1.13938857986449e-39,1.1536599614186,0.962,0.574,1.56255749842616e-35,5,SRGN,Up,Highly,Up_Highly
ANXA2.3,1.16462591019667e-39,1.37227677766216,0.887,0.406,1.59716797324371e-35,5,ANXA2,Up,Highly,Up_Highly
PFN1.4,1.71087045456294e-39,0.841635569501917,0.994,0.939,2.34628774138762e-35,5,PFN1,Up,Highly,Up_Highly
NAMPT,2.35615920615863e-39,2.18201645713792,0.39,0.072,3.23123673532595e-35,5,NAMPT,Up,Highly,Up_Highly
SOD2.1,2.93651846959337e-39,1.84638067237918,0.61,0.176,4.02714142920035e-35,5,SOD2,Up,Highly,Up_Highly
OAS1.1,3.59986143728336e-39,1.65717669414381,0.604,0.169,4.9368499750904e-35,5,OAS1,Up,Highly,Up_Highly
ARRB2.3,5.38966144572577e-39,1.5222444238217,0.698,0.227,7.39138170666833e-35,5,ARRB2,Up,Highly,Up_Highly
PTPRCAP.3,5.50346185828025e-39,-3.99941637754796,0.164,0.67,7.54744759244554e-35,5,PTPRCAP,Down,Highly,Down_Highly
CYBB.1,1.17175721910183e-38,1.81557409558402,0.428,0.086,1.60694785027626e-34,5,CYBB,Up,Highly,Up_Highly
RPL5.3,1.68316547241025e-38,-1.06486686364662,0.987,0.967,2.30829312886342e-34,5,RPL5,Down,Highly,Down_Highly
RPS14.3,1.86105195223053e-38,-0.80101897871717,1,0.995,2.55224664728895e-34,5,RPS14,Down,Highly,Down_Highly
RPLP0.3,1.91318368970172e-38,-1.23386663012461,0.943,0.948,2.62374011205694e-34,5,RPLP0,Down,Highly,Down_Highly
LYL1,2.34457814841381e-38,1.71497990038377,0.453,0.095,3.21535447273469e-34,5,LYL1,Up,Highly,Up_Highly
OAZ2.1,3.01993993011032e-38,1.81019366189995,0.541,0.139,4.14154562015329e-34,5,OAZ2,Up,Highly,Up_Highly
SPN,3.08180561605899e-38,1.68796870892832,0.509,0.122,4.2263882218633e-34,5,SPN,Up,Highly,Up_Highly
CSTB.4,3.48211702187043e-38,1.74645261764342,0.818,0.338,4.7753752837931e-34,5,CSTB,Up,Highly,Up_Highly
NCF2.1,7.09201191859765e-38,1.43703956768367,0.572,0.148,9.72598514516482e-34,5,NCF2,Up,Highly,Up_Highly
RPL9.4,8.56593127192153e-38,-1.14157701454138,0.981,0.975,1.17473181463132e-33,5,RPL9,Down,Highly,Down_Highly
RPS7.3,1.07961990471599e-37,-0.847376892542672,1,0.989,1.48059073732751e-33,5,RPS7,Down,Highly,Down_Highly
KLF4.1,1.24208375293726e-37,1.75405559546749,0.453,0.098,1.70339365877816e-33,5,KLF4,Up,Highly,Up_Highly
RPL11.2,1.50794794370783e-37,-0.698455326068144,0.994,0.996,2.06799981000091e-33,5,RPL11,Down,Highly,Down_Highly
RPLP1.1,2.06384343718074e-37,-0.768845837071915,1,0.997,2.83035488974966e-33,5,RPLP1,Down,Highly,Down_Highly
RPS15A.3,2.23266208727313e-37,-0.946423425273136,0.981,0.986,3.06187278648637e-33,5,RPS15A,Down,Highly,Down_Highly
RPS5.3,2.4495187795103e-37,-1.0410510487706,0.987,0.975,3.35927005422042e-33,5,RPS5,Down,Highly,Down_Highly
PTPN6.3,2.52997037036681e-37,1.5954702528801,0.736,0.264,3.46960136592104e-33,5,PTPN6,Up,Highly,Up_Highly
RPS12.3,3.10173119428384e-37,-0.931183824388385,0.987,0.993,4.25371415984085e-33,5,RPS12,Down,Highly,Down_Highly
RPL15.3,3.51967549331752e-37,-0.729627323420251,0.994,0.994,4.82688297153564e-33,5,RPL15,Down,Highly,Down_Highly
RPS25.3,3.6890625269256e-37,-1.08029176243917,0.975,0.98,5.05918034942577e-33,5,RPS25,Down,Highly,Down_Highly
TNFSF13B.1,5.848281127013e-37,1.33001971500506,0.541,0.137,8.02033273758562e-33,5,TNFSF13B,Up,Highly,Up_Highly
RELT,8.27665528154414e-37,2.79599994829992,0.264,0.036,1.13506050531096e-32,5,RELT,Up,Highly,Up_Highly
MT2A.3,1.03260508568146e-36,1.73895283485721,0.755,0.288,1.41611461450355e-32,5,MT2A,Up,Highly,Up_Highly
TPT1.3,2.21671655948478e-36,-1.02125743304559,0.987,0.984,3.04000508967743e-32,5,TPT1,Down,Highly,Down_Highly
DRAP1.2,6.9525685267508e-36,1.40620281048105,0.887,0.436,9.53475247758605e-32,5,DRAP1,Up,Highly,Up_Highly
POU2F2.2,1.05172669270176e-35,1.89975903902079,0.528,0.134,1.44233798637119e-31,5,POU2F2,Up,Highly,Up_Highly
ARPC2.4,1.55168056095585e-35,0.963605967947661,0.987,0.785,2.12797472129485e-31,5,ARPC2,Up,Highly,Up_Highly
PRAM1,2.51395774169589e-35,1.98763504361972,0.314,0.052,3.44764164696174e-31,5,PRAM1,Up,Highly,Up_Highly
RPS2.1,3.21563923790439e-35,-0.645846347489146,1,0.996,4.40992765086208e-31,5,RPS2,Down,Highly,Down_Highly
RPL10A.3,4.4494554961154e-35,-0.929055726855745,0.994,0.983,6.10198326737266e-31,5,RPL10A,Down,Highly,Down_Highly
ISG15.4,6.70714195293489e-35,1.2720546623619,0.881,0.42,9.19817447425491e-31,5,ISG15,Up,Highly,Up_Highly
ARPC1B.5,2.05842590816799e-34,0.914182349735897,0.987,0.727,2.82292529046158e-30,5,ARPC1B,Up,Highly,Up_Highly
CYBA.3,2.07836528971918e-34,0.966116236322979,0.994,0.834,2.85027015832088e-30,5,CYBA,Up,Highly,Up_Highly
CHCHD10,2.11290270915393e-34,1.51936564125068,0.648,0.198,2.89763477533369e-30,5,CHCHD10,Up,Highly,Up_Highly
RPL35A.2,2.49534381246841e-34,-0.85495355924159,0.994,0.982,3.42211450441917e-30,5,RPL35A,Down,Highly,Down_Highly
RPS3A.3,3.30171516884526e-34,-1.13224139914518,0.981,0.98,4.5279721825544e-30,5,RPS3A,Down,Highly,Down_Highly
CLEC7A,3.34163123377688e-34,2.31565017732225,0.308,0.052,4.58271307400161e-30,5,CLEC7A,Up,Highly,Up_Highly
DUSP6,1.06989982285081e-33,1.86218589027684,0.371,0.074,1.46726061705759e-29,5,DUSP6,Up,Highly,Up_Highly
FCN1.5,1.24984288881813e-33,1.32478062196288,0.723,0.267,1.71403453772518e-29,5,FCN1,Up,Highly,Up_Highly
SEC14L1,1.55720435694788e-33,2.16605103373653,0.27,0.041,2.13555005511833e-29,5,SEC14L1,Up,Highly,Up_Highly
RPS4X.2,1.72286328350924e-33,-0.762417040733646,0.981,0.993,2.36273470700457e-29,5,RPS4X,Down,Highly,Down_Highly
RPL6.1,1.94184475425588e-33,-0.688795557625472,1,0.993,2.66304589598651e-29,5,RPL6,Down,Highly,Down_Highly
ATG3.1,2.09851824731061e-33,1.52058351588013,0.61,0.187,2.87790792436177e-29,5,ATG3,Up,Highly,Up_Highly
GABARAP.5,2.34976393489132e-33,1.14853339647218,0.918,0.46,3.22246626030995e-29,5,GABARAP,Up,Highly,Up_Highly
RPL30.3,2.37308712644393e-33,-0.952574706053317,0.969,0.984,3.25445168520521e-29,5,RPL30,Down,Highly,Down_Highly
CALM2.2,3.32480966962084e-33,1.3499664236307,0.893,0.515,4.55964398091803e-29,5,CALM2,Up,Highly,Up_Highly
RPS29.3,3.38159368678949e-33,-1.26553091437965,0.881,0.926,4.63751758206311e-29,5,RPS29,Down,Highly,Down_Highly
ATP1B3,4.06129235084628e-33,1.81152004058486,0.528,0.142,5.56965632995059e-29,5,ATP1B3,Up,Highly,Up_Highly
RNF130.1,6.42496147537451e-33,1.30533635351503,0.56,0.154,8.81119216732861e-29,5,RNF130,Up,Highly,Up_Highly
THEMIS2.1,1.16503030256855e-32,1.75439975083988,0.421,0.098,1.59772255694251e-28,5,THEMIS2,Up,Highly,Up_Highly
RPL10.2,1.50334409201544e-32,-0.54335939043261,1,0.998,2.06168608778997e-28,5,RPL10,Down,Highly,Down_Highly
LGALS3.5,1.83265082882978e-32,1.37989800857396,0.667,0.219,2.51329734665717e-28,5,LGALS3,Up,Highly,Up_Highly
HLA-DRB1.5,3.1695160519559e-32,0.949543780625322,0.937,0.427,4.34667431365232e-28,5,HLA-DRB1,Up,Highly,Up_Highly
NFKBIZ,3.19233197504597e-32,1.77381771813109,0.465,0.118,4.37796407057804e-28,5,NFKBIZ,Up,Highly,Up_Highly
RPS15.2,4.87702383223357e-32,-0.684493503981892,0.987,0.992,6.68835048352512e-28,5,RPS15,Down,Highly,Down_Highly
PAK1,1.08164950696193e-31,2.03669095019478,0.258,0.039,1.48337413384759e-27,5,PAK1,Up,Highly,Up_Highly
LILRB4,3.02102068979439e-31,2.18409295615108,0.252,0.039,4.14302777398403e-27,5,LILRB4,Up,Highly,Up_Highly
RPS16.2,3.87820192356509e-31,-0.773760314803001,0.994,0.984,5.31856611797716e-27,5,RPS16,Down,Highly,Down_Highly
BTK,4.08050160341109e-31,1.71367198029002,0.333,0.066,5.59599989891797e-27,5,BTK,Up,Highly,Up_Highly
C1orf162.5,4.60852491934492e-31,1.40324912102781,0.83,0.355,6.32013107438962e-27,5,C1orf162,Up,Highly,Up_Highly
HLA-DRB5.5,5.27153334858923e-31,0.995065238540714,0.824,0.318,7.22938083425526e-27,5,HLA-DRB5,Up,Highly,Up_Highly
OSCAR,1.22903589593529e-30,2.94647034934695,0.258,0.041,1.68549982768565e-26,5,OSCAR,Up,Highly,Up_Highly
S100A9.5,1.25078686537123e-30,-1.05531892978934,0.862,0.325,1.7153291071701e-26,5,S100A9,Down,Highly,Down_Highly
BLOC1S1.2,1.53007664150146e-30,1.36876352815394,0.742,0.284,2.0983471061551e-26,5,BLOC1S1,Up,Highly,Up_Highly
MPP1,1.62396475613664e-30,2.07452866732186,0.289,0.051,2.22710526656578e-26,5,MPP1,Up,Highly,Up_Highly
IFNGR2.1,2.06851992614902e-30,1.39312796445877,0.497,0.134,2.83676822672077e-26,5,IFNGR2,Up,Highly,Up_Highly
LGALS9.1,2.2016275011575e-30,1.74619922263478,0.522,0.152,3.01931195508739e-26,5,LGALS9,Up,Highly,Up_Highly
SMCO4.1,3.43260199689742e-30,1.58534301656689,0.384,0.087,4.70747037854512e-26,5,SMCO4,Up,Highly,Up_Highly
CD3D.5,3.9240411248885e-30,-4.70218024945833,0.075,0.548,5.38142999867209e-26,5,CD3D,Down,Highly,Down_Highly
EMP3.3,5.2637617500556e-30,0.993008776431488,0.987,0.715,7.21872286402625e-26,5,EMP3,Up,Highly,Up_Highly
RNF135,1.04725710325011e-29,1.87885185425152,0.252,0.039,1.4362083913972e-25,5,RNF135,Up,Highly,Up_Highly
RBX1.3,1.08350762602924e-29,1.21798623372306,0.723,0.264,1.4859223583365e-25,5,RBX1,Up,Highly,Up_Highly
LDHB.4,1.38433390215989e-29,-2.60128066242999,0.377,0.689,1.89847551342208e-25,5,LDHB,Down,Highly,Down_Highly
RNASET2.3,1.94591194243376e-29,1.17224434673445,0.874,0.47,2.66862363785365e-25,5,RNASET2,Up,Highly,Up_Highly
FCGRT.5,1.95036080946708e-29,0.886256519984282,0.66,0.204,2.67472481410315e-25,5,FCGRT,Up,Highly,Up_Highly
RPS10.3,2.57718201976166e-29,-0.831215298734009,0.987,0.968,3.53434742190115e-25,5,RPS10,Down,Highly,Down_Highly
CTSB.1,3.13457641571438e-29,1.2073729322489,0.579,0.175,4.2987580965107e-25,5,CTSB,Up,Highly,Up_Highly
RPS28.3,4.47212278469341e-29,-0.879372503587916,0.969,0.972,6.13306918692854e-25,5,RPS28,Down,Highly,Down_Highly
RPL18A.4,7.89548607036915e-29,-0.674684344494663,1,0.993,1.08278695969043e-24,5,RPL18A,Down,Highly,Down_Highly
TPI1.4,8.2045425974225e-29,1.12772730032781,0.899,0.48,1.12517097181052e-24,5,TPI1,Up,Highly,Up_Highly
RPL17.3,1.29824012923172e-28,-0.892608004222493,0.962,0.958,1.78040651322837e-24,5,RPL17,Down,Highly,Down_Highly
IL32.5,1.46564594433633e-28,-4.23138548251678,0.164,0.579,2.00998684806285e-24,5,IL32,Down,Highly,Down_Highly
RNF13,2.20328664315133e-28,1.69691483293117,0.39,0.091,3.02158730241774e-24,5,RNF13,Up,Highly,Up_Highly
CNIH4,2.347155065002e-28,2.82250076245272,0.321,0.066,3.21888845614375e-24,5,CNIH4,Up,Highly,Up_Highly
ATP6V0B.5,2.43700621129669e-28,1.01859729564745,0.774,0.31,3.34211031817228e-24,5,ATP6V0B,Up,Highly,Up_Highly
RPL7A.3,2.98317616989832e-28,-0.728647447975426,0.975,0.976,4.09112779939855e-24,5,RPL7A,Down,Highly,Down_Highly
RPL18.4,3.65714121875025e-28,-0.686682785363841,0.969,0.983,5.01540346739409e-24,5,RPL18,Down,Highly,Down_Highly
AP2S1.5,4.53665111726998e-28,1.4590648801581,0.792,0.324,6.22156334222405e-24,5,AP2S1,Up,Highly,Up_Highly
PGLS.5,5.24319319329546e-28,1.30689338882965,0.686,0.272,7.19051514528539e-24,5,PGLS,Up,Highly,Up_Highly
SCIMP,5.53589992890213e-28,2.08017587737381,0.314,0.066,7.59193316249638e-24,5,SCIMP,Up,Highly,Up_Highly
RPS20.3,6.4237051944667e-28,-0.999684535960562,0.981,0.951,8.80946930369163e-24,5,RPS20,Down,Highly,Down_Highly
CPVL.1,7.40472718098682e-28,1.27791039435641,0.403,0.096,1.01548428560053e-23,5,CPVL,Up,Highly,Up_Highly
SYNGR2,7.82520917335498e-28,1.57093347150803,0.44,0.116,1.0731491860339e-23,5,SYNGR2,Up,Highly,Up_Highly
RPL27A.3,8.29865082503199e-28,-0.624044729289148,1,0.989,1.13807697414489e-23,5,RPL27A,Down,Highly,Down_Highly
MT-CO1.3,2.83186744699493e-27,0.529623511296583,0.987,0.995,3.88362301680885e-23,5,MT-CO1,Up,Highly,Up_Highly
