"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS201",3.54904176629079e-67,0.446412111234719,0.988,0.944,4.86715587829118e-63,"1","RPS20"
"RPS16",4.12128856815973e-67,0.350106732206151,0.996,0.981,5.65193514237425e-63,"1","RPS16"
"RPL19",4.48424558423665e-66,0.28370599778809,0.998,0.993,6.14969439422214e-62,"1","RPL19"
"RPS291",1.09550620402274e-63,0.452182655915557,0.988,0.906,1.50237720819679e-59,"1","RPS29"
"RPSA1",1.22514689067718e-63,0.4100658152875,0.984,0.945,1.68016644587469e-59,"1","RPSA"
"RPL14",2.49098537908427e-62,0.32980027239879,0.996,0.983,3.41613734887616e-58,"1","RPL14"
"RPL10A",8.36055044034099e-62,0.352970244359147,0.988,0.983,1.14656588738836e-57,"1","RPL10A"
"RPS5",4.55516760196593e-60,0.401824600618044,0.986,0.973,6.24695684933608e-56,"1","RPS5"
"CD3D1",1.03052058314782e-57,0.587389693226966,0.851,0.433,1.41325592772892e-53,"1","CD3D"
"MALAT1",5.64775064389046e-56,0.402060509898407,1,1,7.74532523303138e-52,"1","MALAT1"
"RPS10",8.81607793919237e-56,0.360714643756965,0.982,0.965,1.20903692858084e-51,"1","RPS10"
"RPL36A",1.43959992244544e-55,0.431873650786299,0.973,0.886,1.97426733364168e-51,"1","RPL36A"
"RPL18",6.67917232300849e-53,0.336974196780625,0.996,0.979,9.15981692377385e-49,"1","RPL18"
"RPS2",8.25137281790957e-53,0.25030800146718,1,0.996,1.13159326824812e-48,"1","RPS2"
"RPS15",5.93707761652001e-52,0.279304354429605,1,0.989,8.14210824329554e-48,"1","RPS15"
"RPL36",1.39223540135395e-51,0.380302040791296,0.989,0.948,1.9093116294168e-47,"1","RPL36"
"NPM1",4.60397483184918e-51,0.504878308307984,0.919,0.795,6.31389108439797e-47,"1","NPM1"
"RPL4",6.08658483246053e-51,0.379216223066016,0.989,0.953,8.34714243923637e-47,"1","RPL4"
"RPLP01",1.58478608482863e-50,0.361908666360387,0.982,0.939,2.17337563673398e-46,"1","RPLP0"
"NOSIP1",9.9725837988951e-49,0.69194567599092,0.665,0.363,1.36764014218047e-44,"1","NOSIP"
"RPL17",2.98726250237216e-47,0.33291000074514,0.972,0.955,4.09673179575317e-43,"1","RPL17"
"RPS8",1.51377523159679e-45,0.322535486166759,0.995,0.985,2.07599135261184e-41,"1","RPS8"
"RPL7",1.85851143158217e-45,0.374777226253423,0.977,0.966,2.54876257727179e-41,"1","RPL7"
"RPS19",4.78587082482237e-45,0.264090431797685,0.996,0.993,6.5633432491614e-41,"1","RPS19"
"EEF1B2",3.79949595983352e-43,0.380942985144159,0.945,0.867,5.21062875931569e-39,"1","EEF1B2"
"LEF11",5.44160484068613e-43,0.661743284267395,0.349,0.113,7.46261687851696e-39,"1","LEF1"
"PRKCQ-AS11",1.05001952167868e-42,0.690427317603599,0.354,0.117,1.43999677203014e-38,"1","PRKCQ-AS1"
"RPL38",1.53715305617012e-40,0.381724292521296,0.958,0.873,2.1080517012317e-36,"1","RPL38"
"CD3E1",1.27109085146066e-39,0.530471449345159,0.731,0.415,1.74317399369315e-35,"1","CD3E"
"RPL22",1.1496749720814e-35,0.408552165360529,0.906,0.781,1.57666425671243e-31,"1","RPL22"
"CD271",1.31461818619644e-34,0.467720585429715,0.441,0.185,1.8028673805498e-30,"1","CD27"
"RPL24",1.48206699824925e-34,0.307232823082102,0.988,0.94,2.03250668139902e-30,"1","RPL24"
"RPL37",1.36310393950159e-33,0.316222382749981,0.984,0.942,1.86936074263248e-29,"1","RPL37"
"TMEM661",1.7384516209931e-33,0.398925307490238,0.864,0.696,2.38411255302993e-29,"1","TMEM66"
"RPL35",7.80593683999596e-33,0.268307758887909,0.996,0.963,1.07050617823705e-28,"1","RPL35"
"GLTSCR2",1.56655910341222e-32,0.362736612691787,0.929,0.802,2.14837915441951e-28,"1","GLTSCR2"
"JUNB1",3.02061016139598e-32,0.42368637318269,0.915,0.898,4.14246477533845e-28,"1","JUNB"
"RPS21",4.15975991853603e-31,0.334522636372256,0.938,0.84,5.70469475228031e-27,"1","RPS21"
"RPSAP581",1.50083787603266e-29,0.375053669802586,0.851,0.697,2.05824906319119e-25,"1","RPSAP58"
"CD7",3.43585417316547e-29,0.406278281338893,0.582,0.31,4.71193041307912e-25,"1","CD7"
"BTG1",6.03902549052547e-29,0.362915072510043,0.936,0.86,8.28191955770664e-25,"1","BTG1"
"RPL37A",3.1883721321057e-27,0.253596834627323,0.979,0.945,4.37253354196975e-23,"1","RPL37A"
"RPS26",3.91967995360653e-27,0.277895695632343,0.956,0.899,5.375449088376e-23,"1","RPS26"
"IL7R1",6.33038230249897e-27,0.512441605000432,0.605,0.348,8.68148628964708e-23,"1","IL7R"
"TCF71",5.27195416287118e-26,0.522477629267486,0.393,0.188,7.22995793896154e-22,"1","TCF7"
"RPL34",8.45498373628659e-26,0.395584648447363,0.936,0.902,1.15951646959434e-21,"1","RPL34"
"C6orf48",2.24022521787778e-25,0.554304649511851,0.696,0.498,3.07224486379759e-21,"1","C6orf48"
"PIK3IP11",2.29452966458055e-25,0.4795012860445,0.419,0.202,3.14671798200576e-21,"1","PIK3IP1"
"MAL1",6.36422980870567e-25,0.579495951654088,0.262,0.097,8.72790475965895e-21,"1","MAL"
"LTB1",2.08840661046028e-21,0.263549537165478,0.899,0.649,2.86404082558523e-17,"1","LTB"
"RPS4Y1",2.94283126406939e-21,0.274000345808771,0.931,0.87,4.03579879554476e-17,"1","RPS4Y1"
"TOMM7",3.27988804075406e-21,0.309119210586388,0.864,0.75,4.49803845909011e-17,"1","TOMM7"
"AAK1",1.05134502821399e-20,0.438220094992503,0.267,0.113,1.44181457169267e-16,"1","AAK1"
"AES1",2.79181031794159e-18,0.347737900148954,0.655,0.444,3.8286886700251e-14,"1","AES"
"RGCC1",1.04677663471817e-16,0.417702567786781,0.361,0.195,1.4355494768525e-12,"1","RGCC"
"CD3G1",1.96707995773816e-16,0.318092512471879,0.352,0.183,2.69765345404211e-12,"1","CD3G"
"C12orf571",4.65854301199163e-16,0.360135877816175,0.439,0.266,6.38872588664532e-12,"1","C12orf57"
"LEPROTL11",5.91043363884984e-16,0.36179288146861,0.388,0.223,8.10556869231867e-12,"1","LEPROTL1"
"TMEM1231",8.01382740697195e-16,0.317133877957906,0.563,0.388,1.09901629059213e-11,"1","TMEM123"
"LAT1",2.61958968832599e-14,0.327177441569323,0.342,0.186,3.59250529857026e-10,"1","LAT"
"NDFIP1",1.20733596851966e-13,0.450049372578407,0.444,0.291,1.65574054722785e-09,"1","NDFIP1"
"GYPC",2.66676812327766e-13,0.360297575824322,0.412,0.258,3.65720580426299e-09,"1","GYPC"
"TRAT11",3.25614560668486e-13,0.305436777207946,0.274,0.142,4.46547808500762e-09,"1","TRAT1"
"LCK1",5.04062074138745e-13,0.295571403241771,0.503,0.321,6.91270728473875e-09,"1","LCK"
"DNAJB11",6.69810493152255e-13,0.384081494697665,0.407,0.261,9.18578110309003e-09,"1","DNAJB1"
"RGS10",7.130552798924e-13,0.337098214486033,0.54,0.381,9.77884010844437e-09,"1","RGS10"
"PRDX21",1.00187723468154e-12,0.308384110685429,0.407,0.256,1.37397443964227e-08,"1","PRDX2"
"EVL1",2.39487419249347e-12,0.306376555846894,0.658,0.496,3.28433046758554e-08,"1","EVL"
"FLT3LG1",1.80136989367752e-11,0.349491825227431,0.264,0.148,2.47039867218935e-07,"1","FLT3LG"
"PPA11",4.3884473398661e-11,0.307010695234373,0.419,0.285,6.01831668189237e-07,"1","PPA1"
"COMMD6",1.55438401802201e-10,0.258402003966941,0.688,0.574,2.13168224231539e-06,"1","COMMD6"
"OCIAD21",2.58715677009187e-10,0.277455324725051,0.327,0.198,3.548026794504e-06,"1","OCIAD2"
"RSL1D1",2.89450930816004e-10,0.35611921431061,0.43,0.299,3.96953006521067e-06,"1","RSL1D1"
"EEF1G",3.20744714735542e-10,0.310940361396997,0.342,0.218,4.39869301788322e-06,"1","EEF1G"
"AQP31",5.47919154562085e-10,0.276822628846123,0.255,0.142,7.51416328566443e-06,"1","AQP3"
