specificSubtype	otherSubtype	EnrichScore	tissue
hM04_cDC1-BATF3	hI02_NK-GZMK	0.204430425660059	tumor
hM04_cDC1-BATF3	hI04_ILC3-SLC4A10	-0.0773179830798948	tumor
hM04_cDC1-BATF3	hB02_GALTB-IgA	-0.804495694713085	tumor
hM04_cDC1-BATF3	hB03_FollicularB-IgD	-0.753455008613592	tumor
hM04_cDC1-BATF3	hB05_GCBCell-LRMP	-0.77864581903194	tumor
hM04_cDC1-BATF3	hB01_PlasmaB-IgG	-0.822871554444228	tumor
hM04_cDC1-BATF3	hF01_Myofib-ACTA2	-1.09475194427463	tumor
hM04_cDC1-BATF3	hF02_CAF-FAP	-1.15384648635705	tumor
hM04_cDC1-BATF3	hM13_TAM-SPP1	-0.874086036693558	tumor
hM04_cDC1-BATF3	hT07_CD4-GZMK	0.990939781835703	tumor
hM04_cDC1-BATF3	hT08_CD4-IL23R	1.19045003910731	tumor
hM04_cDC1-BATF3	hT09_CD4-CXCL13	1.21259544169477	tumor
hM04_cDC1-BATF3	hT11_CD4-CTLA4	1.34613684831651	tumor
hM04_cDC1-BATF3	hT18_CD8-LAYN	1.13542876623541	tumor
hM08_Macro-NLRP3	hM01_Mast-TPSAB1	0.35291165838824	tumor
hM08_Macro-NLRP3	hM02_pDC-LILRA4	-0.376637998680275	tumor
hM08_Macro-NLRP3	hM03_cDC2-CD1C	-0.216736327068317	tumor
hM08_Macro-NLRP3	hM04_cDC1-BATF3	-0.42557332528758	tumor
hM08_Macro-NLRP3	hM08_Macro-NLRP3	0.482174817370371	tumor
hM08_Macro-NLRP3	hM12_TAM-C1QC	1.21111302087756	tumor
hM08_Macro-NLRP3	hT04_CD4-TCF7	-0.465195444256865	tumor
hM08_Macro-NLRP3	hT05_CD4-CXCR6	-0.28659012290517	tumor
hM08_Macro-NLRP3	hT06_CD4-CXCR5	-0.618030987880046	tumor
hM08_Macro-NLRP3	hT15_CD8-GZMK	-0.475345930530027	tumor
hM08_Macro-NLRP3	hT16_CD8-CD6	-0.545567896571395	tumor
hM08_Macro-NLRP3	hT17_CD8-CD160	-0.593378379786378	tumor
hM08_Macro-NLRP3	hI02_NK-GZMK	-0.250558124103996	tumor
hM08_Macro-NLRP3	hI04_ILC3-SLC4A10	0.938131313525413	tumor
hM08_Macro-NLRP3	hB02_GALTB-IgA	-0.478891182162466	tumor
hM08_Macro-NLRP3	hB03_FollicularB-IgD	-0.559473503046591	tumor
hM08_Macro-NLRP3	hB05_GCBCell-LRMP	-1.37274033520784	tumor
hM08_Macro-NLRP3	hB01_PlasmaB-IgG	-0.233161761258279	tumor
hM08_Macro-NLRP3	hF01_Myofib-ACTA2	0.40808147860486	tumor
hM08_Macro-NLRP3	hF02_CAF-FAP	3.74991990521034	tumor
hM08_Macro-NLRP3	hM13_TAM-SPP1	1.63998925212216	tumor
hM08_Macro-NLRP3	hT07_CD4-GZMK	-0.455170138861465	tumor
hM08_Macro-NLRP3	hT08_CD4-IL23R	-0.0621264415038958	tumor
hM08_Macro-NLRP3	hT09_CD4-CXCL13	-0.281348128697403	tumor
hM08_Macro-NLRP3	hT11_CD4-CTLA4	-0.423819242103074	tumor
hM08_Macro-NLRP3	hT18_CD8-LAYN	-0.661976176187877	tumor
hM12_TAM-C1QC	hM01_Mast-TPSAB1	1.0778474250877	tumor
hM12_TAM-C1QC	hM02_pDC-LILRA4	-0.571900832246164	tumor
hM12_TAM-C1QC	hM03_cDC2-CD1C	0.1275201746889	tumor
hM12_TAM-C1QC	hM04_cDC1-BATF3	-0.246412445113584	tumor
hM12_TAM-C1QC	hM08_Macro-NLRP3	-0.132778606134716	tumor
hM12_TAM-C1QC	hM12_TAM-C1QC	0.338132094611716	tumor
hM12_TAM-C1QC	hT04_CD4-TCF7	1.23098405916018	tumor
hM12_TAM-C1QC	hT05_CD4-CXCR6	0.844286805682541	tumor
hM12_TAM-C1QC	hT06_CD4-CXCR5	0.812993280684691	tumor
hM12_TAM-C1QC	hT15_CD8-GZMK	0.723757239912555	tumor
hM12_TAM-C1QC	hT16_CD8-CD6	0.414960365302193	tumor
hM12_TAM-C1QC	hT17_CD8-CD160	0.223539047646721	tumor
hM12_TAM-C1QC	hI02_NK-GZMK	0.239875949600411	tumor
hM12_TAM-C1QC	hI04_ILC3-SLC4A10	-1.15657142889341	tumor
hM12_TAM-C1QC	hB02_GALTB-IgA	-0.875888193208741	tumor
hM12_TAM-C1QC	hB03_FollicularB-IgD	-0.927847191719926	tumor
hM12_TAM-C1QC	hB05_GCBCell-LRMP	-1.33532625592018	tumor
hM12_TAM-C1QC	hB01_PlasmaB-IgG	-0.710022809048019	tumor
hM12_TAM-C1QC	hF01_Myofib-ACTA2	-2.33446186944759	tumor
hM12_TAM-C1QC	hF02_CAF-FAP	-1.86211629687308	tumor
hM12_TAM-C1QC	hM13_TAM-SPP1	-0.277857463058159	tumor
hM12_TAM-C1QC	hT07_CD4-GZMK	0.702863310827683	tumor
hM12_TAM-C1QC	hT08_CD4-IL23R	0.941197893562698	tumor
hM12_TAM-C1QC	hT09_CD4-CXCL13	1.19826569969443	tumor
hM12_TAM-C1QC	hT11_CD4-CTLA4	-0.0403162469496462	tumor
hM12_TAM-C1QC	hT18_CD8-LAYN	1.5952762921508	tumor
hM13_TAM-SPP1	hM01_Mast-TPSAB1	-0.331303778221741	tumor
hM13_TAM-SPP1	hM02_pDC-LILRA4	-0.289803072068045	tumor
hM13_TAM-SPP1	hM03_cDC2-CD1C	-0.324500291325499	tumor
hM13_TAM-SPP1	hM04_cDC1-BATF3	-0.342883220014795	tumor
hM13_TAM-SPP1	hM08_Macro-NLRP3	-0.117233157106179	tumor
hM13_TAM-SPP1	hM12_TAM-C1QC	-0.339605786922006	tumor
hM13_TAM-SPP1	hT04_CD4-TCF7	-0.257662824178888	tumor
hM13_TAM-SPP1	hT05_CD4-CXCR6	-0.172313458849328	tumor
hM13_TAM-SPP1	hT06_CD4-CXCR5	-0.308128278096262	tumor
hM13_TAM-SPP1	hT15_CD8-GZMK	-0.204816156353437	tumor
hM13_TAM-SPP1	hT16_CD8-CD6	-0.166330725833652	tumor
hM13_TAM-SPP1	hT17_CD8-CD160	-0.157274742596135	tumor
hM13_TAM-SPP1	hI02_NK-GZMK	-0.290572933719834	tumor
hM13_TAM-SPP1	hI04_ILC3-SLC4A10	-0.338116618987181	tumor
hM13_TAM-SPP1	hB02_GALTB-IgA	-0.247538618730636	tumor
hM13_TAM-SPP1	hB03_FollicularB-IgD	-0.27846827733104	tumor
hM13_TAM-SPP1	hB05_GCBCell-LRMP	-0.518815061589869	tumor
hM13_TAM-SPP1	hB01_PlasmaB-IgG	-0.196034328340581	tumor
hM13_TAM-SPP1	hF01_Myofib-ACTA2	2.51885945538499	tumor
hM13_TAM-SPP1	hF02_CAF-FAP	4.08385244975171	tumor
hM13_TAM-SPP1	hM13_TAM-SPP1	-0.287387033239099	tumor
hM13_TAM-SPP1	hT07_CD4-GZMK	-0.236183396939043	tumor
hM13_TAM-SPP1	hT08_CD4-IL23R	-0.266702186845501	tumor
hM13_TAM-SPP1	hT09_CD4-CXCL13	-0.268896334766212	tumor
hM13_TAM-SPP1	hT11_CD4-CTLA4	-0.341753245971459	tumor
hM13_TAM-SPP1	hT18_CD8-LAYN	-0.320388377110279	tumor
hT04_CD4-TCF7	hM01_Mast-TPSAB1	0.176265746736048	tumor
hT04_CD4-TCF7	hM02_pDC-LILRA4	0.998702865552535	tumor
hT04_CD4-TCF7	hM03_cDC2-CD1C	1.02398387884624	tumor
hT04_CD4-TCF7	hM04_cDC1-BATF3	1.9116909561707	tumor
hT04_CD4-TCF7	hM08_Macro-NLRP3	0.568714695873023	tumor
hT04_CD4-TCF7	hM12_TAM-C1QC	1.58811602354724	tumor
hT04_CD4-TCF7	hT04_CD4-TCF7	-1.02188961776996	tumor
