,x
TCGA-WX-AA47-01A-11R-A39D-07,1340
TCGA-XR-A8TC-01A-11R-A36F-07,1434
TCGA-XR-A8TD-01A-12R-A39D-07,843
TCGA-XR-A8TE-01A-11R-A36F-07,1895
TCGA-XR-A8TF-01A-11R-A36F-07,1644
TCGA-XR-A8TG-01A-11R-A36F-07,542
TCGA-YA-A8S7-01A-11R-A37K-07,2205
TCGA-ZP-A9CV-01A-11R-A38B-07,1689
TCGA-ZP-A9CY-01A-11R-A38B-07,1207
TCGA-ZP-A9CZ-01A-11R-A38B-07,1730
TCGA-ZP-A9D0-01A-11R-A37K-07,1284
TCGA-ZP-A9D1-01A-11R-A38B-07,1587
TCGA-ZP-A9D2-01A-11R-A38B-07,1883
TCGA-ZP-A9D4-01A-11R-A37K-07,1642
TCGA-ZS-A9CD-01A-11R-A37K-07,1984
TCGA-ZS-A9CE-01A-11R-A37K-07,795
TCGA-ZS-A9CF-01A-11R-A38B-07,625
TCGA-ZS-A9CG-01A-11R-A37K-07,963
TCGA-DD-AACA-02A-11R-A41C-07,1329
TCGA-DD-AACA-02B-11R-A41C-07,2115
TCGA-ZS-A9CF-02A-11R-A38B-07,621
