GeneSymbol	SPOT	Profile	VM	HN	P1	P2	YFB-S	YFB-C	YFB-G	FB-S	FB-C
JGI|COPCI_AMUTBMUT1|374439|	ID_1161	39	0.00	-1.05	-0.72	-0.66	1.67	0.66	1.00	2.38	1.12
JGI|COPCI_AMUTBMUT1|374455|	ID_1162	28	0.00	2.97	4.20	3.80	4.87	6.84	0.16	1.75	2.25
JGI|COPCI_AMUTBMUT1|374475|	ID_1163	10	0.00	-0.28	-0.24	0.15	-2.36	-1.27	-2.30	-3.00	-3.45
JGI|COPCI_AMUTBMUT1|374477|	ID_1164	39	0.00	-0.11	0.30	0.35	0.65	1.04	2.89	1.98	2.16
JGI|COPCI_AMUTBMUT1|374503|	ID_1165	7	0.00	-0.22	-0.09	-0.36	-0.83	0.02	3.14	-1.11	1.16
JGI|COPCI_AMUTBMUT1|374523|	ID_1167	22	0.00	-0.93	-2.14	-1.38	-0.08	-2.27	-2.22	1.48	-0.33
JGI|COPCI_AMUTBMUT1|374545|	ID_1168	24	0.00	1.78	-0.33	-0.12	-1.02	-0.11	-2.20	2.99	0.69
JGI|COPCI_AMUTBMUT1|374579|	ID_1169	29	0.00	-0.55	0.66	0.27	-0.16	-0.48	0.71	-1.93	-3.02
JGI|COPCI_AMUTBMUT1|374583|	ID_1170	47	0.00	2.26	3.47	2.68	0.31	1.33	-1.17	-0.84	-0.53
JGI|COPCI_AMUTBMUT1|374615|	ID_1171	44	0.00	3.82	-0.51	-0.90	1.24	0.98	1.44	1.62	0.58
JGI|COPCI_AMUTBMUT1|374674|	ID_1173	9	0.00	-0.78	-0.57	-0.32	-1.33	-2.09	0.04	-4.05	-1.57
JGI|COPCI_AMUTBMUT1|374710|	ID_1175	10	0.00	-0.59	-0.54	-0.33	-2.22	-2.16	-1.29	-1.15	-3.23
JGI|COPCI_AMUTBMUT1|374722|	ID_1176	12	0.00	0.03	-0.31	-0.58	1.49	0.06	0.28	0.70	-0.46
JGI|COPCI_AMUTBMUT1|374767|	ID_1177	37	0.00	1.27	3.30	3.92	1.89	2.62	6.04	2.07	1.30
JGI|COPCI_AMUTBMUT1|374809|	ID_1178	38	0.00	3.00	3.95	3.38	3.14	6.49	0.25	5.30	4.71
JGI|COPCI_AMUTBMUT1|374826|	ID_1179	39	0.00	0.83	0.55	0.45	1.89	1.99	0.73	2.25	3.83
JGI|COPCI_AMUTBMUT1|374930|	ID_1180	28	0.00	0.76	1.71	1.64	2.95	3.11	-0.72	1.60	1.38
JGI|COPCI_AMUTBMUT1|375021|	ID_1181	29	0.00	0.09	1.03	0.78	1.10	0.07	0.21	-0.51	-1.56
JGI|COPCI_AMUTBMUT1|375061|	ID_1182	8	0.00	0.16	-0.13	-0.17	-0.04	0.14	0.62	-1.20	-2.10
JGI|COPCI_AMUTBMUT1|375102|	ID_1183	39	0.00	1.58	0.89	1.06	2.76	3.03	2.06	2.39	3.20
