Gene ID #2	Gene ID #1	Class	type
jupoy	ID548	2	proliferation class
kihure	ID549	2	proliferation class
PAPLN	ID550	2	proliferation class
HIST1H4C	ID551	2	proliferation class
CKLFSF3	ID552	2	proliferation class
RAD51AP1	ID553	2	proliferation class
UGCG	ID554	2	proliferation class
DEPDC1	ID555	2	proliferation class
SLC39A10	ID556	2	proliferation class
PTP4A3	ID557	2	proliferation class
FLJ12442	ID558	2	proliferation class
G6PD	ID559	2	proliferation class
MGC14289.1	ID560	2	proliferation class
LAMB1	ID561	2	proliferation class
FHOD3	ID562	2	proliferation class
MGC24665	ID563	2	proliferation class
MEP1A	ID564	2	proliferation class
SOX9	ID565	2	proliferation class
SELM	ID566	2	proliferation class
SLAMF8	ID567	2	proliferation class
dydo	ID568	2	proliferation class
TMED3	ID569	2	proliferation class
FLJ22662	ID570	2	proliferation class
LOC91461	ID571	2	proliferation class
MMP12	ID572	2	proliferation class
zarly	ID573	2	proliferation class
H19	ID574	2	proliferation class
STK6	ID575	2	proliferation class
CTBP2	ID576	2	proliferation class
TUBA1	ID577	2	proliferation class
E2F8	ID578	2	proliferation class
SLC7A7	ID579	2	proliferation class
MARCKS	ID580	2	proliferation class
PELI1.shed1	ID581	2	proliferation class
dado	ID582	2	proliferation class
BCAT1	ID583	2	proliferation class
TTF2	ID584	2	proliferation class
DUSP9	ID585	2	proliferation class
CDKN3	ID586	2	proliferation class
FMNL2	ID587	2	proliferation class
AADACL1	ID588	2	proliferation class
kehora	ID589	2	proliferation class
RACGAP1	ID590	2	proliferation class
DCC1	ID591	2	proliferation class
TSC	ID592	2	proliferation class
RFC4	ID593	2	proliferation class
FLJ20647	ID594	2	proliferation class
BACE2	ID595	2	proliferation class
DTL	ID596	2	proliferation class
PAG1	ID597	2	proliferation class
C4orf7	ID598	2	proliferation class
C22orf8	ID599	2	proliferation class
ABCC1	ID600	2	proliferation class
CES2	ID601	2	proliferation class
CYP8B1	ID602	2	proliferation class
GLYAT	ID603	2	proliferation class
AQP9	ID604	2	proliferation class
DCXR	ID605	2	proliferation class
ABCB4	ID606	2	proliferation class
