gene,HR,z,pvalue,lower,upper
CTB-66B24.1,0.403615936282776,-2.00949710756961,0.0444844411242306,0.166590142604469,0.977883934034472
CTC-503J8.6,1.07317153040485,0.29511751958286,0.767904106749141,0.671407461720944,1.71534753384997
CTD-3128G10.6,1.06159072984242,0.308489447907972,0.757709928344513,0.726173786601046,1.5519354987493
RP11-1137G4.3,0.991153936259359,-0.0472407784135348,0.962321327311195,0.685551891935303,1.432985798623
CTB-133G6.2,0.949920086880593,-0.224556966992406,0.82232394522598,0.606648001936927,1.48743285822781
CTD-3214H19.6,1.18361095439268,0.859833699563437,0.389880719928469,0.805993257058839,1.7381471607722
CTD-3193O13.1,1.2094553196026,0.879551830585763,0.3791021433228,0.791679513373182,1.84769486314281
CTD-3193O13.8,0.924237357604376,-0.288740359031494,0.772780075428173,0.541405550563298,1.57777232298923
CTD-2325M2.1,0.737269738732347,-1.21958371291505,0.222622723708584,0.451743547134632,1.20326382324276
RAB11B-AS1,1.2772177959552,1.07319923514774,0.283181733799451,0.816949518352965,1.99680061210325
AC130469.2,0.966643283213091,-0.152707338293447,0.878629073523399,0.625405570111458,1.49406925943186
CTD-2529P6.3,1.00404748423185,0.0198052995763212,0.984198690263068,0.673210143240905,1.49746904545905
CTC-325H20.4,1.05236678703094,0.219786967313384,0.826037070048124,0.667560053693488,1.65899060064839
CTC-325H20.2,1.0690351494594,0.304118332603065,0.761037740522303,0.695258235627581,1.64375780424678
CTD-3116E22.7,1.38793183944209,1.71120405425156,0.0870434505315904,0.953462816428703,2.02037746805112
CTC-429L19.3,0.965294244258088,-0.180022247011242,0.857135102928534,0.657120153699106,1.41799482598803
ILF3-AS1,1.21263075808395,0.826087474878297,0.408754472195173,0.76749451834569,1.91593988009296
CTC-215O4.4,1.17339652394748,0.769258643857525,0.441739782874334,0.780744829449904,1.76352035963161
CTC-510F12.2,1.23130186486492,1.00094727620473,0.316852298771851,0.819258419406938,1.85058126533182
CTD-2342J14.6,0.957974159302805,-0.187719426732838,0.851096600664129,0.611885564395652,1.49981392484447
ZNF833P,1.65063956793971,2.71913091502982,0.00654536966810037,1.15018408575347,2.36884774967419
CTC-499B15.6,0.935392179583913,-0.276497745647698,0.782165790899789,0.582615190117029,1.50177775050972
CTD-2006C1.12,1.43876390350251,1.79022063930925,0.0734184483776817,0.96609516110505,2.14268909871571
CTD-2006C1.2,1.12008595769509,0.531969343560931,0.594747228311941,0.737550698365247,1.70102550971272
CTD-2666L21.1,1.29064826847015,1.71709331929531,0.0859621226587181,0.964555026157605,1.72698592380029
CTD-3105H18.13,0.914181566251679,-0.38444657151844,0.700647488519511,0.57858920757523,1.44442365175937
CTD-2192J16.21,0.714343204819196,-1.27599998120498,0.201955525738979,0.426093330483064,1.19759258773857
CTD-2192J16.11,1.37338916281573,2.16915667180249,0.0300707913658992,1.0310714620808,1.82935699600605
CTD-2192J16.26,1.31928801822534,1.91814398628157,0.0550927563751293,0.993976957294254,1.75106763014999
CTC-425F1.2,1.17521000466031,1.89023540117392,0.0587264840171336,0.994062112677787,1.38936846846848
CTC-239J10.1,1.12911806911856,0.614825503111789,0.538669965012261,0.766681245750939,1.66289135292635
AC005546.2,1.00886615477869,0.036101150135057,0.971201705252033,0.62475037119619,1.62914816090334
CTD-3252C9.2,1.46245438207277,2.06035538806265,0.0393645784562726,1.01869384817409,2.0995246250651
CTD-3252C9.4,1.5545743225666,1.93798581346953,0.0526249533590211,0.995008947492874,2.42882371105585
CTB-55O6.10,1.09710593982712,0.436111544269847,0.662755801731758,0.723376249404387,1.66392170629738
CTB-55O6.12,1.23996841043196,1.03002565182968,0.302997964060778,0.823504665717962,1.86704668822816
CTD-2189E23.2,1.51409240311212,2.25157603047972,0.0243490772082712,1.05519413744349,2.17256306096999
CTC-548K16.1,1.29308440068946,1.24069798351182,0.21471733951366,0.861562720116801,1.94073771794552
AC003956.1,0.951092730565026,-0.243350385932933,0.807733974918626,0.63507937297476,1.42435327083059
AC005785.2,1.06251445796907,0.346159899771601,0.729222549211929,0.75374845069684,1.49776357397433
AC005785.5,0.985125019419163,-0.0739852605465515,0.941022113495046,0.662321538814138,1.46525704965476
AC011537.3,1.21625941567968,1.11274047757685,0.26581990575103,0.861514012610885,1.71707824199676
AC004510.3,1.42006102178664,2.15262064275343,0.0313485048475564,1.03188493659748,1.95426179225673
UCA1,0.928746308587732,-0.342257802541347,0.732156888700383,0.608215568431584,1.41819734726565
AC004791.2,0.999928441470967,-0.000353746417160215,0.999717751201195,0.672628409203919,1.48649220636685
CTD-3222D19.7,1.28540395416606,1.16340007496367,0.244667219146515,0.842058133868985,1.96217251390249
CTD-3222D19.5,1.19273922068099,0.892260917088897,0.372253097422407,0.809848207105753,1.75665863808589
CTC-429P9.2,0.989151613699093,-0.0420758248534653,0.966438252071889,0.595112329679134,1.64409451138586
CTC-429P9.1,1.06585647315119,0.271347691254389,0.786123629521785,0.672401725832022,1.68954060900507
CTC-429P9.3,1.08666129557124,0.346862153698282,0.728694880450539,0.679425607774763,1.7379868491563
CTC-429P9.5,1.24811580203424,0.966349336679054,0.333869406275839,0.79621308451047,1.95650270711807
CTD-2538G9.5,1.10893723546497,0.465307642492132,0.64171116260379,0.717381730948225,1.71420840418565
CTD-2528A14.3,0.934225933226253,-0.327172224256503,0.743537627691679,0.621499288665828,1.40431068905333
CTD-3032J10.4,0.912478195521107,-0.41496544420248,0.678167199942609,0.592032383106977,1.40636978830769
CTD-2278I10.4,0.940430921306561,-0.265952787790694,0.790275569756665,0.598076850867239,1.47875697992168
CTD-2521M24.5,0.482301785270499,-1.67943025404444,0.0930682211498228,0.205939190940134,1.12953251400668
CTD-2521M24.9,0.54489344490411,-2.2527498328875,0.0242749269445546,0.321287830849568,0.924121108211179
CTD-2521M24.6,1.1922651350342,0.881989684147229,0.377782385842677,0.806596895657558,1.76233774252166
CTD-3131K8.2,1.07394380392067,0.324059968466138,0.745892633427923,0.697590229041696,1.65334209965069
CTD-3131K8.3,1.50458343425441,3.01501003149856,0.00256970756402852,1.15367501816364,1.96222616854108
CTB-52I2.5,1.02347261862408,0.102876324494443,0.918061128300065,0.657820537511591,1.59237381829961
AC068499.10,1.30179450205379,1.63345575846825,0.102373178242756,0.948646351258254,1.78640746715541
MIR3188,1.53271290954068,2.52981124919297,0.0114123902124936,1.10097024650053,2.13376235237937
CTD-3137H5.1,1.34432001112652,1.55770124037808,0.11930408634289,0.926435757686731,1.95069790573249
