num.gene,km.pvalue,core.gene
4 genes,0.00887677737155401,NLRX1 | RP11-46H11.12 | CTB-32O4.2 | NAV2
4 genes,0.0682228837628998,NLRX1 | RP11-46H11.12 | GTSE1 | GS1-115G20.1
4 genes,0.00410847319213559,NLRX1 | RP11-46H11.12 | GTSE1 | NAV2
4 genes,0.0113855221651152,NLRX1 | RP11-46H11.12 | GS1-115G20.1 | NAV2
4 genes,0.0434913588692737,NLRX1 | CTB-32O4.2 | GTSE1 | GS1-115G20.1
4 genes,0.00403708463568908,NLRX1 | CTB-32O4.2 | GTSE1 | NAV2
4 genes,0.00135682498617973,NLRX1 | CTB-32O4.2 | GS1-115G20.1 | NAV2
4 genes,0.00679721397107647,NLRX1 | GTSE1 | GS1-115G20.1 | NAV2
4 genes,0.0121000801144313,DSG1 | RP11-203J24.8 | AC131097.4 | RP11-46H11.12
4 genes,0.0240807384789596,DSG1 | RP11-203J24.8 | AC131097.4 | CTB-32O4.2
4 genes,0.0999219213470632,DSG1 | RP11-203J24.8 | AC131097.4 | GTSE1
4 genes,0.208203028616223,DSG1 | RP11-203J24.8 | AC131097.4 | GS1-115G20.1
4 genes,0.16811693636416,DSG1 | RP11-203J24.8 | AC131097.4 | NAV2
4 genes,0.0261730651124386,DSG1 | RP11-203J24.8 | RP11-46H11.12 | CTB-32O4.2
4 genes,0.223422593939081,DSG1 | RP11-203J24.8 | RP11-46H11.12 | GTSE1
4 genes,0.0660110858251477,DSG1 | RP11-203J24.8 | RP11-46H11.12 | GS1-115G20.1
4 genes,0.0468975260413327,DSG1 | RP11-203J24.8 | RP11-46H11.12 | NAV2
4 genes,0.273029335805148,DSG1 | RP11-203J24.8 | CTB-32O4.2 | GTSE1
4 genes,0.262649386665091,DSG1 | RP11-203J24.8 | CTB-32O4.2 | GS1-115G20.1
4 genes,0.0111416568407534,DSG1 | RP11-203J24.8 | CTB-32O4.2 | NAV2
4 genes,0.401244133778465,DSG1 | RP11-203J24.8 | GTSE1 | GS1-115G20.1
4 genes,0.0373648218777066,DSG1 | RP11-203J24.8 | GTSE1 | NAV2
4 genes,0.458751825953902,DSG1 | RP11-203J24.8 | GS1-115G20.1 | NAV2
4 genes,0.0805226703098437,DSG1 | AC131097.4 | RP11-46H11.12 | CTB-32O4.2
4 genes,0.149272670890788,DSG1 | AC131097.4 | RP11-46H11.12 | GTSE1
4 genes,0.00844537832284753,DSG1 | AC131097.4 | RP11-46H11.12 | GS1-115G20.1
