,GSM904985,GSM904986,GSM904988,GSM904989
ADGRB3,3.719153388,3.633032937,3.199158531,4.035290323
ADGRD1,5.208066487,5.43601701,4.532489906,4.722440236
ADGRD2,6.699695085,6.830000466,7.475711167,6.999348882
ADGRE1,4.926141418,6.507306306,5.140368942,6.867224373
ADGRE2,5.4096107205,6.260592585,5.0970778265,5.4409524625
ADGRE3,4.584356257,4.616165782,4.47673096,4.901039802
ADGRE5,8.877652306,10.41565341,8.016256354,8.882403661
ADGRF1,7.4331287525,4.632711488,6.954615066,4.6166878
ADGRF2,4.240668954,3.617697244,3.782212757,3.811925125
ADGRF3,4.859647708,4.565997188,5.0023026505,4.9148056465
ADGRF4,4.3897155275,4.3141686405,3.998669821,5.6405168825
ADGRF5,10.2109399565,10.5454142245,9.7147876475,9.428421703
ADGRG1,9.650319836,9.716679487,9.6866526695,9.53782463
ADGRG2,4.952131942,5.96734945,5.316161094,5.216775513
ADGRG3,5.32033287,5.2246909875,5.1754695285,5.5769985265
ADGRG4,3.713020529,5.045159401,3.858242986,4.614715765
ADGRG5,5.679806384,5.5260622285,6.1574140535,5.8675680245
ADGRG6,5.002045959,5.673923371,5.229008767,5.865212053
ADGRG7,3.131547977,3.454313297,3.268638173,3.26353678
ADGRL1,7.701400329,7.140705681,7.024814036,6.670809458
ADGRL2,6.54542071,6.915037291,6.4853750385,6.465207385
ADGRL3,4.656397155,5.5467752335,4.8871146705,4.6827943095
ADGRL4,9.405470275,11.22018152,8.437837336,10.27118743
ADGRV1,3.886150168,3.967630681,3.524721813,3.63149753
ADH1A,4.546941538,4.351939437,4.758938123,4.638230714
ADH1B,8.445194225,6.3585014075,7.682846526,5.358950672
ADH1C,8.545199554,4.083353115,7.576181131,4.846936068
ADH4,4.495930358,4.4386068775,4.77893444,5.0934409005
ADH5,11.202092395,11.009348425,11.73211668,11.41167324
ADH6,8.738796188,6.6975169365,10.179439429,6.2746574105
ADH7,3.973995648,4.276258343,4.454937925,4.765224544
ADHFE1,8.670828421,7.889852484,8.456112991,7.313526519
ADI1,11.78694509,10.5444275,12.43233779,11.35801853
ADIG,6.177505977,6.499053952,6.4295885325,6.806435456
ADIPOQ,3.859465566,4.465522602,4.063717616,4.371629739
ADIPOR1,9.547888711,9.693509856,9.735621377,10.08321916
ADIPOR2,9.682394247,10.1201333,9.23232389,9.558212701
ADIRF,11.44911272,12.62673592,11.1981349,11.22034581
ADIRF-AS1,6.159206734,5.221657381,5.963155193,5.887647586
ADK,8.509900867,7.340490675,8.6282272535,7.430247852
ADM,11.49807203,13.02332989,10.93674498,12.67942228
ADM2,7.432842712,7.858733439,8.034098546,7.694241049
ADM5,6.221657472,6.219286633,6.596884908,5.775903228
ADNP,9.745617969,9.6830830165,9.4069603805,9.4178747245
ADNP2,8.4940832855,9.1335338625,7.8161640115,8.0202051215
ADO,8.583136536,8.967314537,8.6232454785,8.641659147
ADORA1,7.3040729825,6.4565010625,6.9926263065,6.706395185
ADORA2A-AS1,6.8071080405,6.850154081,7.0924826385,7.029536904
ADORA2B,6.185516823,7.984596505,5.707365543,6.607271297
ADORA3,5.5721161925,6.0607490095,5.6811913195,6.5543756755
ADPGK,8.930216512,8.8905645375,8.5549632405,8.981880721
ADPRH,6.514196524,6.858020452,6.352204648,7.177255697
ADPRHL1,6.2946389345,6.305397464,6.875401799,6.300005416
ADPRHL2,9.235485527,9.642617519,9.2626926,10.16655075
ADPRM,7.448532853,7.5927559145,7.2573993235,7.550410789
ADRA1A,4.487749399,4.451425445,4.875074055,4.590477357
ADRA1B,5.70282621,5.603515536,5.224884408,5.125453828
ADRA1D,3.9206621775,3.8850806135,4.411449416,3.8114960825
ADRA2A,4.914897418,4.97168442,5.270536114,4.866609794
ADRA2B,7.024835186,7.202721249,7.617216989,6.8947382
ADRA2C,8.349525558,8.087560365,7.60806216,6.288204424
ADRB1,5.192575154,4.199621697,5.071844983,4.650961925
ADRB2,5.526740136,6.387281828,5.106503704,6.267249754
ADRB3,5.8779438715,5.8958225075,6.2063957145,6.2833605705
ADRM1,9.188174598,9.460882867,9.138683239,9.176331863
ADSL,9.662924364,10.456897105,9.993065296,10.179919845
ADSS,7.4446984675,7.3615126845,7.656393199,7.567718828
ADSSL1,7.516263237,9.2710554525,8.1225971545,6.6992576355
ADTRP,6.715531015,5.305550187,6.6188047935,6.344926198
AEBP1,10.37275098,10.24033056,8.544117383,8.43821479
AEBP2,7.481821368,7.35565384,7.258215374,7.343239835
AEN,7.589259637,8.8003884,7.69056151,7.966461716
AES,9.766920669,10.06421077,9.715249124,9.777016553
AFAP1,4.76776102,5.35036103,4.24828939,4.500667249
AFAP1-AS1,5.1409388615,4.98074316,5.2121255535,5.5687573315
AFAP1L1,6.3848648775,7.7344337275,6.4486290085,7.4212120815
AFAP1L2,7.962496744,7.971386866,7.563250463,6.349414948
AFDN,5.596016166,6.047905063,6.363754133,6.354234468
AFDN-AS1,6.737999339,6.424325838,6.566596693,6.558152445
AFF1,5.81242239,6.426142744,6.615542633,6.860141835
