,GSM904985,GSM904986,GSM904988,GSM904989
GLIDR,8.492859722,8.4313506645,8.077443298,8.635114278
GLIS3-AS1,5.874645004,6.02255377,6.275125826,6.161483824
GLYCTK-AS1,5.400699393,5.375083969,5.943768455,5.287744002
GNA14-AS1,5.003009511,5.674256564,5.29172142,4.882563947
GNAS-AS1,4.195410869,4.390864118,4.504923948,4.542227089
GNRHR2,5.311108983,5.274023843,5.570952046,5.426025163
GRID1-AS1,3.334321243,4.185680141,3.556946844,3.49953056
GRIK1-AS1,5.658994826,5.170557256,5.279927742,5.345863737
GRTP1-AS1,2.856621584,3.048770668,2.957887046,3.159648386
GSN-AS1,4.54199738,5.032307117,5.365275922,4.392689983
GTF3C2-AS1,5.8140828335,5.8738768235,5.945766684,5.953302083
GUCY1B2,5.194474619,4.615510718,5.450915727,4.722910557
GUSBP11,6.675443102,6.6076268475,7.1861975985,7.2227065255
HAGLR,6.214760199,6.374383867,6.162287633,6.826122565
HAGLROS,6.03298662,5.948452458,6.771118171,7.641591476
HAND2-AS1,3.7370441455,4.2213652775,4.110115406,4.071937036
HAR1A,4.777874067,6.151791521,4.999144427,5.544747608
HCCAT5,6.746538661,6.049542677,6.303500423,5.966219563
HCG11,5.7691192065,4.787768246,5.226727234,5.967758894
HCG18,6.237590023,6.295066979,6.2685634805,6.2894598215
HCG22,6.161291785,6.567024598,6.196387278,6.170816919
HCG27,5.936396388,6.815207833,5.557140793,6.681815653
HCG9,6.454528941,6.372608257,6.332236392,6.511619033
HCP5,7.402550344,9.030591524,7.242501773,9.326345688
HCP5B,6.417595107,6.247848529,6.404870415,6.413957308
HECW1-IT1,3.072252541,3.535032996,3.053616165,3.20990596
HEIH,9.92670929,9.579755419,9.739153803,9.843884906
HEXA-AS1,4.356736666,4.174688177,4.357505867,4.47787508
HHIP-AS1,7.179660801,7.935985653,7.136046904,7.156279487
HIPK1-AS1,3.5114553285,3.642915103,3.535229216,3.552456138
HLA-DRB6,6.7603902415,6.9690416635,6.8652725365,6.983660007
HLA-F-AS1,5.7793294985,5.7584481295,5.7872434665,5.896113328
HMGN3-AS1,5.0928822745,4.950426218,4.866155772,6.1469182165
HMMR-AS1,4.480153493,4.624476591,4.236291884,3.992262436
HNF4A-AS1,3.740586358,3.553447768,3.903382705,3.363967808
HOTAIR,3.676729284,4.10601703,3.688360357,4.213959538
HOTAIRM1,9.306453979,8.350259907,7.210227531,7.718889773
HOTTIP,5.16643618,5.231980254,5.001428575,5.326206674
HOXA-AS2,6.960256121,6.814099882,7.069655981,7.075559429
HOXA-AS3,5.66561673,5.417457071,6.241492862,5.504443134
HOXA11-AS,4.84848587,4.4462877515,4.7594277595,4.623873328
HOXB-AS1,6.0011045145,6.000370651,5.810055719,6.544685625
HOXB-AS3,7.721482064,5.669610254,6.824492525,5.376980716
HOXC-AS3,5.728202749,6.045726733,5.724929545,5.146930299
HOXD-AS2,8.19714799,8.182367184,8.898094687,9.395152675
HPYR1,4.990140449,4.8752352425,5.1533705795,5.206537182
HSD17B7P2,5.375078268,4.757997333,4.466137857,4.500637767
HYI-AS1,3.552452352,3.84396916,3.618630356,3.811925125
HYMAI,5.242978783,5.986380908,5.106969742,5.373275804
ID2-AS1,6.6603551035,6.3091248725,6.572738701,6.6415568775
