,TCGA-DD-A11D-01A-11R-A131-07,TCGA-DD-AACT-01A-11R-A41C-07,TCGA-G3-AAUZ-01A-11R-A38B-07,TCGA-EP-A26S-11A-12R-A16W-07
ENSG00000006468,1.02787102394,0.469565869524,0.0327575058181,0.362586736666
ENSG00000006530,2.46501882607,2.86996534622,0.639216312008,1.07383932411
ENSG00000006534,1.23248700206,1.16507456584,1.27337723664,0.66638250983
ENSG00000006555,0.808157557197,1.47340191168,0.698587720631,0.443670183995
ENSG00000006576,0.835839460248,0.737041784412,0.655786625843,0.436320117605
ENSG00000006606,0,0.257890055363,0.0637386029839,0.0202400621127
ENSG00000006607,0.980314307792,0.533086102647,0.404317578229,0.651369658674
ENSG00000006611,0,0,0,0.113639859341
ENSG00000006625,10.1257888773,16.5767270627,10.5383817697,6.67498744725
ENSG00000006634,0.43133352678,0.778655777896,0.451663729109,0.221373195169
ENSG00000006638,0.614947687259,1.38198783983,1.55476093186,1.41718117683
ENSG00000006652,1.81743420921,1.96924832501,0.871267297031,0.478923814493
ENSG00000006659,0,0,0.0208523881866,0
ENSG00000006695,1.79809539087,2.81256260254,1.63144299378,2.01818687437
ENSG00000006704,0.678254119149,0.851791247189,1.00068037252,0.376039048725
ENSG00000006712,17.2843206076,17.893123462,29.3137370848,13.3522051132
ENSG00000006715,3.66396693562,4.10306020298,1.8112842538,2.26953858378
ENSG00000006740,0.0872928101495,0.0627761246716,0.0606069573681,0.0985375462234
ENSG00000006744,4.90312364481,8.2871434957,3.24109540487,5.90271665483
ENSG00000006747,0.036245855366,0.0156646630893,0.00193579341421,0.0196706307859
ENSG00000006756,16.0419499691,5.84282752801,6.81392865871,7.40492029462
ENSG00000006757,8.96572707457,2.39162485752,3.21051028334,5.26979221378
ENSG00000006788,0,0,0.00708764430723,0
ENSG00000006831,30.8849399573,10.1040077676,17.74944427,15.4466451842
ENSG00000006837,0.180213250991,0.142940435004,0.103040947316,0.0794639272085
ENSG00000007001,0.0438371090158,0.270919738918,0.372839572476,0.0483242605734
ENSG00000007038,0,0.0185124940607,0.0571930016607,0.0290584318283
ENSG00000007047,6.99356219356,5.7340701272,3.6509754732,2.19442583443
ENSG00000007062,0,0,0.00605319527934,0.20567322735
ENSG00000007080,21.5328077545,28.6267282781,48.3201965253,13.2909416065
ENSG00000007129,0.13488692129,0.28418893718,0.163889789774,0.275083716185
ENSG00000007168,3.8040949956,5.09895635291,3.29453364777,4.62074117902
ENSG00000007171,4.19826659875,0.592949510435,0.150860237522,0.0307963014042
ENSG00000007174,0,0.00214452743329,0,0.000841547930009
ENSG00000007202,4.55481803207,3.61972080133,7.23109792102,6.57610247635
ENSG00000007216,0.381726642256,0.158027607391,0.292928867898,0.181608443247
ENSG00000007237,0.173262918154,0.313665801595,0.291828140375,0.292863678938
ENSG00000007255,15.8038533678,37.3507723014,49.412583411,21.7175649534
ENSG00000007264,0.35998618948,0.624341797399,0.896511695435,0.296763006818
ENSG00000007306,0,0,0,0
ENSG00000007312,0.903645098421,0.945365429872,1.78483410134,1.05110145639
ENSG00000007314,0.302571465827,0.211940783222,0.223714999633,0.0190595758903
