	V1	V2
AC011997.1-NAV2-AS5	AC011997.1	NAV2-AS5
AC011997.1-NAV2-IT1	AC011997.1	NAV2-IT1
AC011997.1-NDUFV2-AS1	AC011997.1	NDUFV2-AS1
AC011997.1-NFIA-AS2	AC011997.1	NFIA-AS2
AC011997.1-NHEG1	AC011997.1	NHEG1
AC011997.1-NIFK-AS1	AC011997.1	NIFK-AS1
AC011997.1-NOP14-AS1	AC011997.1	NOP14-AS1
AC011997.1-NPHP3-AS1	AC011997.1	NPHP3-AS1
AC011997.1-NR2F1-AS1	AC011997.1	NR2F1-AS1
AC011997.1-NR2F2-AS1	AC011997.1	NR2F2-AS1
AC011997.1-NRG1-IT1	AC011997.1	NRG1-IT1
AC011997.1-NUP50-AS1	AC011997.1	NUP50-AS1
AC011997.1-OSER1-AS1	AC011997.1	OSER1-AS1
AC011997.1-OVOL1-AS1	AC011997.1	OVOL1-AS1
AC011997.1-PACRG-AS1	AC011997.1	PACRG-AS1
AC011997.1-PAN3-AS1	AC011997.1	PAN3-AS1
AC011997.1-PART1	AC011997.1	PART1
AC011997.1-PCA3	AC011997.1	PCA3
AC011997.1-PCAT18	AC011997.1	PCAT18
AC011997.1-PCAT19	AC011997.1	PCAT19
AC011997.1-PCAT4	AC011997.1	PCAT4
AC011997.1-PCGEM1	AC011997.1	PCGEM1
AC011997.1-PDCD4-AS1	AC011997.1	PDCD4-AS1
AC011997.1-PGM5-AS1	AC011997.1	PGM5-AS1
AC011997.1-PLCG1-AS1	AC011997.1	PLCG1-AS1
AC011997.1-PLCH1-AS1	AC011997.1	PLCH1-AS1
AC011997.1-PP12613	AC011997.1	PP12613
AC011997.1-PRICKLE2-AS3	AC011997.1	PRICKLE2-AS3
AC011997.1-PRKAG2-AS1	AC011997.1	PRKAG2-AS1
AC011997.1-PRKG1-AS1	AC011997.1	PRKG1-AS1
AC011997.1-PRR7-AS1	AC011997.1	PRR7-AS1
AC011997.1-PSMB8-AS1	AC011997.1	PSMB8-AS1
AC011997.1-PTGER4P2-CDK2AP2P2	AC011997.1	PTGER4P2-CDK2AP2P2
AC011997.1-PTOV1-AS1	AC011997.1	PTOV1-AS1
