SYMBOL,GSM431121,GSM431122,GSM431123,GSM431124,GSM431125,GSM431126
GRTP1,25.90680248,24.80735553,24.73956661,23.85996248,30.71819605,24.80735553
VNN3,24.03474486,25.73394931,23.02381988,24.34796293,27.62516629,30.03098228
PYGO1,24.8167749,24.98625248,24.98625248,24.44309181,24.89706499,30.6659798
OR7C1,27.15813956,29.93892043,26.75593568,24.19560748,21.56946305,25.17052794
ACSM3,25.4752368,25.4752368,24.65582307,25.4752368,26.04191378,27.63178943
RNH1 ,23.93647523,24.0217699,26.22863941,29.84636091,25.33410885,25.33410885
IL10RA,23.52969199,27.31274431,25.2018535,26.51996905,23.4295505,28.69221431
CDH22,27.14142242,23.91812941,24.99052537,25.3600115,28.24309791,24.99052537
MX2,20.72027885,26.27554319,25.80523028,26.27554319,30.16058363,25.38015102
GOLGA2L1,23.90627257,25.57730183,25.7670208,28.68113515,25.34002382,25.34002382
UCN,26.95098302,26.28567873,23.36201716,26.06801859,25.68927979,26.21650558
HCG18,23.85741216,25.86631348,24.58576116,26.01741047,27.09982704,27.09982704
PRPH2,25.21427616,27.2111165,23.12005544,23.08263103,29.27316828,26.62249755
WHDC1 ,24.2558015,25.02433245,28.37587505,27.66061153,23.29755283,25.86510331
FLJ21272,32.16506359,33.14417347,25.01111097,20.78242816,19.70363868,23.58278929
LHB,26.30158805,25.19460651,28.21310327,28.61312987,23.86391334,22.19853677
PNLIP,25.53522544,24.85589302,28.52749913,23.90035264,26.69875666,24.85589302
FAM77C,24.64434417,23.84117409,27.04725951,24.83755394,22.90082104,31.06800219
HIST1H2AL,25.79505429,27.67887526,23.98165726,25.79505429,24.86990015,26.19896076
CLCN4,24.12797959,22.31382772,24.78265168,29.29478418,29.05511586,24.72061063
PGM5,25.95338182,25.35728615,23.53002625,25.28595146,29.22305766,24.91636864
RP11-138L21.1,21.01513236,25.72702073,26.09984578,25.72702073,28.51854697,27.17368174
NDN,25.4752368,25.4752368,24.5547878,23.32872631,24.1738951,31.21200234
