,TCGA-3X-AAV9-01,TCGA-3X-AAVA-01,TCGA-3X-AAVB-01,TCGA-3X-AAVC-01,TCGA-3X-AAVE-01,TCGA-4G-AAZO-01,TCGA-4G-AAZT-01,TCGA-W5-AA2G-01,TCGA-W5-AA2H-01,TCGA-W5-AA2I-01,TCGA-W5-AA2O-01,TCGA-W5-AA2Q-01,TCGA-W5-AA2T-01,TCGA-W5-AA2U-01,TCGA-W5-AA2W-01,TCGA-W5-AA2X-01,TCGA-W5-AA2Z-01,TCGA-W5-AA30-01,TCGA-W5-AA31-01,TCGA-W5-AA33-01,TCGA-W5-AA34-01,TCGA-W5-AA36-01,TCGA-W5-AA38-01,TCGA-W5-AA39-01,TCGA-W6-AA0S-01,TCGA-WD-A7RX-01,TCGA-YR-A95A-01,TCGA-ZD-A8I3-01,TCGA-ZH-A8Y1-01,TCGA-ZH-A8Y2-01,TCGA-ZH-A8Y4-01,TCGA-ZH-A8Y5-01,TCGA-ZH-A8Y6-01,TCGA-ZH-A8Y8-01,TCGA-ZU-A8S4-01,TCGA-W5-AA2I-11,TCGA-W5-AA2Q-11,TCGA-W5-AA2R-11,TCGA-W5-AA2U-11,TCGA-W5-AA2X-11,TCGA-W5-AA30-11,TCGA-W5-AA31-11,TCGA-W5-AA34-11,TCGA-ZU-A8S4-11
GSDMB,667,149,4160,6396,1088,328,583,573,3806,4562,2266,677,3567,2015,513,1574,373,2421,1153,655,551,195,1242,653,432,1488,580,859,582,592,490,733,353,1250,445,871,424,589,896,1504,656,554,456,353
VDAC1P1,6,10,8,7,5,6,2,3,5,2,4,7,7,10,10,5,5,6,5,3,2,4,4,28,13,4,2,7,3,2,10,17,5,4,6,1,0,1,4,1,3,3,4,3
NSF,1688,1433,2043,1791,2213,565,744,1253,1105,1544,1708,1886,2030,2711,1815,3262,1413,1926,2483,2228,1066,1355,3086,1320,1742,1800,1186,1522,1648,4610,1745,2977,4738,2506,1793,540,354,457,469,496,483,711,792,518
CDHR2,974,109,1150,717,1562,11894,1436,317,41,3823,932,105,345,1211,1939,102,1666,538,1686,834,22,5621,11930,1693,29,1399,1264,13685,154,1669,10089,139,152,2795,1407,5835,3155,2168,2098,2736,5210,6707,3024,7134
NUAK1,3021,661,2428,243,2333,109,523,537,245,380,524,1779,1709,1140,1187,488,1894,1590,5750,634,1038,1928,2007,265,433,476,755,1671,1719,1635,1949,544,1041,896,703,157,360,318,161,287,272,231,257,243
IPCEF1,318,44,139,89,269,37,30,49,1199,48,26,50,43,119,24,99,69,109,48,327,41,11,27,71,71,213,28,17,41,184,34,15,97,128,110,21,82,41,50,60,57,44,38,64
ACTR6,858,711,599,570,797,218,478,557,711,505,784,873,876,503,854,604,1284,858,986,864,1120,693,1132,366,452,555,608,878,693,701,734,603,1213,921,1084,427,349,215,357,323,367,534,618,321
ZNF37A,595,723,589,548,1195,502,352,696,806,989,578,1824,1411,1060,1040,689,2690,1722,1976,1689,778,360,877,455,1106,1255,810,1190,1318,842,1203,1538,1623,937,720,308,206,352,298,399,337,313,313,203
TPD52,2172,2621,3147,19227,2118,1768,1949,1546,1877,3107,1894,5259,12008,6304,1414,3618,2971,7179,6174,2624,2511,2007,2382,1279,2606,1678,2293,2884,6828,1601,2084,15285,1520,4303,1579,821,649,883,1143,801,870,944,1219,1027
ACACB,1332,2201,723,1015,923,358,2252,1027,1099,1527,2133,1752,2313,1118,2830,511,2592,1540,1727,1997,1338,3129,1038,4380,1163,1805,1993,1507,844,1002,4118,1234,4154,1187,537,9516,3939,6110,4499,5192,4389,9875,9246,8591
PAG1,1149,351,757,1375,693,118,97,594,1674,30,244,320,194,1202,385,1015,522,1113,631,907,261,124,153,1032,507,578,257,361,367,352,271,263,2538,857,797,331,321,775,329,429,456,429,394,400
MBNL3,1041,598,987,1354,3071,945,351,4060,1391,527,2223,2595,1275,790,3319,537,3518,1275,3472,5945,1743,1413,143,477,2480,884,1244,119,1122,8609,3049,1935,7912,1560,647,3112,2368,4352,4793,3298,3719,6631,4010,4377
RAP1GAP,2000,5411,4953,4254,1517,5982,3660,7001,164,13648,18490,21773,17147,23130,15476,3091,17599,7177,7072,9358,16839,7071,6594,12526,9108,11610,5389,6920,12917,4012,12411,33859,63137,5227,3198,534,692,1182,529,923,1013,589,1004,1266
NMRK2,3,1,0,0,2,0,2,1,20,6,2,1,1,6,1,0,1,0,0,1,0,1,3,1,0,0,2,0,0,2,1,0,0,1,0,1,2,1,5,1,1,3,0,2
TOP2B,4474,3148,7843,4494,4055,2508,2057,4036,5876,2290,2495,7743,4640,2952,8578,4849,5779,5347,7465,5073,2622,2214,2849,900,2452,4156,2580,3868,7292,3914,3257,12945,12280,5234,6526,1552,1548,2513,2182,2111,2467,2404,2861,1803
USP33,2050,3559,2625,3229,3769,2256,1596,2901,1971,2248,2140,2899,2833,3482,1356,2222,4623,3651,3776,2210,3200,1728,2462,1196,1236,2271,3245,1684,2140,3841,2928,2227,4814,4684,2258,788,592,885,790,963,824,996,1260,826
PPP2R5C,5733,2628,5698,2559,2470,2420,1702,3349,5750,1824,2497,5155,2575,3352,4833,7148,5957,3016,5739,5284,2390,1782,4396,1782,4038,3111,4801,3655,4449,2101,2478,4269,7922,4526,5013,2276,1770,2550,2038,1927,2047,2639,2700,2263
ZCWPW1,249,120,1013,249,155,47,290,157,839,128,224,203,268,61,257,251,152,229,284,189,58,145,89,33,73,252,335,321,107,54,124,118,320,176,233,173,160,309,337,163,207,225,243,170
TNRC6C,997,578,615,560,652,252,620,723,1767,587,245,1282,890,667,1049,296,883,1025,720,1100,674,449,402,311,490,806,511,756,793,880,814,944,1285,977,353,287,339,256,470,390,407,353,437,336
CLUL1,11,21,19,6,5,8,19,11,4,11,4,34,54,10,13,7,23,81,89,45,8,11,6,2,2,10,19,8,60,4,57,21,59,4,5,2,0,1,1,3,0,1,2,2
RUNX1T1,577,95,394,46,122,12,68,68,132,18,14,90,41,135,43,37,217,272,108,161,17,30,16,15,46,250,78,72,74,71,40,69,86,96,42,33,77,34,41,83,120,38,57,23
DUSP13,24,3,6,0,2,0,3,23,0,0,2,5,1,7,4,1,4,1,2,1,0,1,13,1,0,0,1,0,1,25,98,0,3,10,0,0,0,0,0,0,0,0,1,1
CIC,3402,3157,4185,2744,5711,2197,2156,5609,3845,2110,3807,6076,6016,7173,8730,2445,4694,5026,9529,7972,3380,2812,5737,2050,8863,3279,2690,5342,5311,5337,6681,6597,7165,4786,2789,1031,1067,1998,1072,1412,1106,1278,2023,1080
RIMS1,7,7,4,0,72,7,0,15,5,160,1,6,0,63,12,0,8,14,12,2,8,16,0,2,2,1,72,0,42,0,28,15,242,5,24,0,0,0,0,3,2,1,3,1
EPHA6,15,168,45,132,221,68,4,470,0,170,102,28,6,288,90,2,106,12,40,35,113,87,269,2,352,202,174,419,60,491,218,20,817,25,139,6,0,8,0,3,8,3,16,3
RFX3,465,253,420,702,374,104,207,173,518,509,98,694,499,457,108,703,1027,530,583,634,338,70,57,172,811,430,322,473,912,1090,352,828,530,471,203,38,71,71,100,133,110,80,105,51
SESN1,1269,417,587,509,1262,208,667,917,2483,604,301,2179,784,1322,390,1754,730,959,650,1347,1556,301,1215,1188,547,1562,897,821,1243,671,406,374,3157,1119,768,941,630,440,1259,725,630,1019,1216,1731
RSBN1,962,634,949,1108,956,463,490,742,1145,679,442,1263,939,936,413,742,1653,897,1346,1250,1098,331,510,136,569,915,582,975,1011,1145,874,839,2502,1612,639,272,243,322,354,396,341,373,482,242
EXD2,1563,1085,1710,1324,1044,660,545,858,525,818,718,2067,987,995,1556,1506,1948,1354,2099,1997,845,852,1387,437,915,1212,1566,1784,1741,858,1120,1068,2679,1289,946,445,237,293,361,422,425,483,523,292
ZNF510,403,412,366,328,480,258,133,249,400,249,162,825,338,356,482,494,812,539,685,521,232,81,266,211,538,318,219,464,292,448,246,1131,1086,401,276,164,105,193,179,199,180,209,272,166
JMJD4,233,373,242,257,379,98,771,229,361,511,355,551,413,276,295,285,382,357,592,384,660,454,479,347,272,305,274,324,402,344,573,882,249,465,233,122,108,98,119,127,82,108,171,100
EPB41L3,1027,215,1039,1497,566,197,167,372,608,49,155,112,47,249,239,41,226,283,332,384,130,91,122,618,692,307,121,68,210,268,263,85,171,581,768,52,296,177,157,179,147,200,116,208
LINC01587,3,1,5,0,2,7,0,5,0,3,6,6,3,27,9,6,10,22,3,12,15,0,2,112,2,15,11,3,70,14,19,2,12,11,12,1,2,6,1,1,3,2,4,1
DOPEY1,562,372,642,1147,828,320,149,1108,614,229,367,1419,447,596,1043,824,783,637,805,1174,326,148,197,693,345,457,764,687,1342,545,304,840,2554,1196,325,346,200,600,314,455,366,303,707,350
TNPO1,3331,3358,3819,4292,2942,2135,1644,4639,2660,2662,3872,4953,3351,3848,5540,5362,6201,3872,8789,5488,2678,1993,3073,2527,4334,3118,1836,4843,4061,3300,5625,5138,6054,4891,4027,1216,983,2734,1323,1609,1444,1846,2447,1375
AC000061.1,3,23,18,36,21,2,0,0,0,1,6,0,5,1,0,1,29,0,3,3,0,7,4,0,8,4,60,5,2,1,63,1,0,13,0,0,0,0,1,5,0,0,1,1
ZNF671,290,235,185,48,160,214,385,187,1154,369,32,474,309,362,183,66,479,194,247,176,527,67,101,231,94,225,164,472,336,580,83,1057,315,195,255,141,111,43,61,121,123,104,91,97
ZNF264,1554,1388,1925,1816,1774,1173,637,1278,1611,1656,711,1994,1937,1837,2273,1230,1746,1747,3511,2888,1221,707,1138,714,1003,1557,1025,1634,1576,1715,523,2499,2893,1913,658,450,404,456,388,528,477,504,489,383
STARD7,6980,10520,3929,7069,9591,6259,6596,11149,6458,8918,7535,8201,7616,9232,7740,7635,5809,7468,13131,9483,7974,13316,10573,4089,8604,7425,8596,12787,6229,7794,9215,8225,8344,7545,6470,2857,2179,3549,2777,2738,2624,3120,3985,3425
SLCO1A2,3,2,11,0,2,0,0,77,111,6,14,0,5,5,4,312,1,299,59,21,2,0,64,28,0,33,17,207,3,167,213,0,1,14,4,229,273,181,842,182,72,145,248,51
NCOA1,2341,1895,2853,2650,1377,969,946,2095,1785,818,1343,2280,2515,4917,1909,2183,2881,1937,2731,2346,1576,1483,1277,803,2490,2052,1374,2413,2026,3420,1136,1739,4728,2330,1352,885,782,1174,1028,1064,1115,1340,1533,1011
BCORL1,1101,1141,663,1905,845,685,620,953,508,896,326,2013,2422,1575,643,1449,2019,1630,3485,1464,1386,499,607,189,1050,1144,392,1224,1293,948,1370,2964,1155,1298,513,322,173,198,260,325,304,274,461,105
TTC39A,542,921,1474,2493,2684,1431,4350,1712,100,453,2380,1084,1177,4947,1235,688,2543,4175,2763,57,2158,536,14627,507,1601,541,805,756,1271,2735,9924,771,1153,1827,578,46,13,15,16,48,48,22,32,24
FAT2,66,3,21,3,61,24,3,9,22,12,21,19,40,84,13,19,30,37,17,38,4,1,5,16,18,8,6,54,55,24,213,29,23,11,4,2,0,1,3,2,3,2,5,10
PPEF1,52,21,99,14,25,12,6,6,62,30,6,21,63,11,58,24,54,48,61,21,16,36,38,2,27,16,7,35,27,75,199,31,5,14,15,0,2,0,0,0,1,3,2,1
ATXN7L3,3551,2596,3818,3885,3695,1625,1437,2609,3111,2228,3628,3341,3880,2915,2637,7535,3141,3263,5665,2873,2614,2892,2743,1138,2869,2088,2331,4119,3032,3844,4259,4594,3732,4042,2772,659,642,722,667,821,753,741,931,623
CASS4,98,35,84,53,111,24,32,73,149,7,23,11,20,85,72,19,54,63,92,170,49,12,16,6,92,85,31,18,51,127,38,22,112,136,102,30,66,44,32,51,57,95,64,97
AAMDC,212,300,370,148,173,104,376,156,107,291,84,304,186,319,270,85,382,170,186,216,326,264,337,203,279,235,201,174,197,323,213,404,557,213,238,158,125,130,188,142,142,182,200,178
GP6,76,20,30,12,2,10,11,6,20,12,26,11,19,10,21,1,26,5,9,35,17,3,7,7,17,22,32,30,28,1,6,42,3,7,2,4,11,1,3,4,5,7,3,3
KHSRP,5192,7251,5004,7447,8206,4698,5429,7199,5635,8348,11360,7709,9222,7446,6677,6791,7370,9172,15966,9970,5911,5588,8287,2449,7547,7081,5947,6672,6117,8942,9791,8808,5954,9197,8291,2313,2177,2954,2898,2885,2760,2970,3323,2250
DNMT3B,205,96,153,403,452,76,85,71,68,1324,121,1023,577,356,104,443,264,1016,432,255,165,71,244,77,85,341,232,359,310,211,155,635,123,382,61,55,34,14,34,43,42,76,49,20
ANKRD10,5644,4973,8607,7090,5110,4092,4529,2930,8448,3963,1757,27273,18881,3191,5778,10213,6242,8488,10567,7823,5508,4426,2819,1790,4982,5131,6203,8403,10251,5589,7875,33673,3488,4835,3494,1383,1038,1463,1222,1953,1479,1658,1567,1157
SIGLEC1,445,191,627,224,1111,321,101,622,742,63,144,195,50,456,412,99,429,806,690,659,181,192,742,60,912,417,123,327,400,235,290,124,171,684,1098,200,818,433,439,535,507,595,351,535
NSFL1C,5561,2468,2653,2749,1944,1902,4166,1968,2988,5333,3932,4020,5037,4664,2394,4193,5308,5307,4884,2851,7930,3591,5422,2129,2717,4450,3659,4422,2831,3849,3276,4081,3617,7248,4813,1816,1278,1627,1645,1565,1597,2010,2289,1550
C20ORF194,1232,1097,878,249,1633,1041,898,728,471,973,1149,1982,1599,1669,2119,548,1890,2523,4359,1728,1845,731,1692,424,778,755,1239,1442,1515,2065,983,1979,1674,1776,924,95,185,159,242,299,259,221,217,231
RPL6,32061,43680,17751,12537,37647,11460,64268,27787,57192,43171,67613,43821,33627,18764,23457,25739,68943,23902,54354,33017,68752,54242,30308,7157,35195,31125,37413,37720,27113,31772,56130,21123,18167,34195,31402,9896,9483,10525,13384,8775,11931,8510,11570,9041
SIRPG,274,60,58,148,302,29,35,52,2919,328,27,68,8,121,113,3,62,132,26,454,49,36,121,267,41,276,791,116,62,33,14,85,1,355,559,13,43,16,25,20,46,14,10,25
ESF1,986,637,657,572,491,404,223,826,368,563,988,1159,1028,1508,1013,1458,1170,1370,1832,1130,960,406,820,353,551,832,708,1363,757,1197,807,2076,1291,2428,853,408,261,383,380,434,356,572,681,354
SLC8B1,2637,675,2075,858,1782,322,1070,717,2230,748,1332,1880,1457,1509,1270,1421,2981,2477,2746,1432,2395,822,2311,2051,1100,1404,712,1211,2170,2907,3984,1616,1921,1479,1468,918,778,857,510,906,831,686,778,1105
DZANK1,157,267,154,51,132,348,121,378,154,205,444,278,386,305,592,231,303,556,153,250,260,138,120,33,122,187,259,361,202,298,325,584,288,674,177,30,27,14,18,35,21,35,51,18
PXN,3118,1415,1829,1957,1648,2066,1496,2398,1303,1850,2113,2219,2382,1471,1313,934,3920,2017,3140,1634,1809,1092,2295,466,1317,1231,1429,3004,2470,1466,2723,1438,3375,2301,3293,433,376,557,392,539,445,543,606,439
SIRT4,64,89,31,13,37,27,143,37,59,97,50,94,112,19,39,4,139,104,97,136,103,106,58,127,38,68,69,93,45,18,80,40,145,77,35,100,40,13,21,46,44,82,79,40
GRAMD1A,4090,3920,3120,1112,6926,1236,3106,2882,5124,2215,1794,4803,3718,5555,2495,13439,5895,3043,12431,12180,5292,6960,6783,946,20905,4129,2605,9584,6354,4181,10285,11215,1515,5588,4298,534,598,477,362,718,702,492,457,588
FXYD3,73,0,211,7,21,36,13,1,3,55,0,63,111,98,1,138,14,112,94,169,17,3,3,2,0,41,12,12,78,1,1,109,135,97,5,0,1,0,0,0,1,0,1,0
HEPH,1422,509,1723,362,423,94,275,688,250,53,113,492,263,512,300,195,945,812,1348,758,198,455,174,45,427,417,334,556,615,319,304,997,592,811,540,111,207,88,105,156,239,128,134,86
RBM41,385,417,522,621,568,483,218,486,133,184,442,566,528,819,444,710,813,691,878,858,687,217,253,190,588,371,469,945,659,726,773,831,944,738,350,210,94,216,137,216,122,311,313,189
ANKRD24,71,181,47,184,97,63,224,113,134,154,495,230,303,150,430,32,144,139,100,285,115,36,111,103,463,157,160,226,93,72,301,119,254,67,64,187,130,203,339,415,321,274,294,220
CCNK,263,142,218,348,196,134,4,167,65,35,117,246,79,198,342,343,220,154,415,299,46,26,218,87,196,88,193,174,164,193,223,209,347,271,255,55,36,99,67,75,90,72,104,74
DNAJB11,2851,1304,1875,2383,1587,2082,1831,1728,687,1860,3119,1948,1927,1757,3002,2384,1948,1990,5457,1393,1800,1552,2334,2287,3180,2251,1607,1548,1151,1241,1161,3405,17750,2079,1941,585,380,908,481,680,610,964,987,1059
CHRD,602,149,369,133,187,32,203,670,344,62,356,304,1602,2018,1165,561,569,942,6004,524,215,545,77,1144,124,859,280,438,207,874,370,380,499,383,242,2030,1251,1985,1459,3652,2214,1844,1082,1261
DTX2,1362,387,1884,2031,1077,212,967,457,1876,1010,719,615,655,937,424,2027,798,1197,797,833,1158,785,1432,315,1818,767,477,702,677,864,692,1051,1030,794,1165,208,189,234,259,306,311,282,322,204
CD200,585,285,575,416,255,88,65,233,952,35,63,216,138,534,119,180,635,485,444,317,62,200,191,43,273,277,255,289,483,120,141,196,318,524,224,20,39,17,40,70,81,35,45,11
CMA1,188,1,3,5,1,0,0,2,86,2,1,2,0,1,0,2,5,5,0,30,0,0,0,0,0,6,2,1,1,0,1,0,4,30,0,5,7,7,3,2,12,2,0,26
PPP2R3C,530,331,700,441,316,211,297,266,623,427,346,470,322,289,532,551,645,324,434,452,420,386,491,276,666,534,220,285,422,175,213,1499,371,403,562,194,145,129,157,174,154,190,225,183
HAUS4,383,185,469,527,311,142,111,511,387,283,637,305,459,229,181,467,460,397,235,522,343,139,61,141,901,653,443,351,167,371,201,527,249,341,246,126,190,148,253,152,166,200,149,155
RPGRIP1,32,17,25,15,35,11,9,25,63,7,68,40,14,8,27,18,19,35,40,34,21,16,23,3,27,53,24,54,25,17,16,35,27,33,25,11,37,18,32,33,14,25,25,16
MFSD11,1246,633,876,1004,652,279,463,686,700,767,904,857,808,859,401,1046,830,873,660,874,669,393,853,461,606,742,894,768,810,967,959,651,1313,1116,934,397,276,329,320,297,325,500,557,350
AC016026.1,11,12,6,1,19,13,0,6,2,10,6,19,13,15,16,16,18,33,30,24,3,0,13,1,16,16,7,17,17,16,8,21,6,14,4,4,3,0,6,9,0,3,4,0
OR1I1,2,2,1,0,0,0,3,0,3,0,1,4,4,0,1,2,2,4,1,0,2,0,0,2,1,0,0,0,1,0,0,2,1,1,2,0,0,0,1,2,0,0,0,0
EPB41L4B,309,667,909,795,326,236,231,1451,14,698,1821,652,760,822,104,744,1182,576,1804,820,569,215,500,239,714,1253,1017,114,477,341,284,1388,3200,841,595,4148,2191,3836,4183,3802,4144,5357,4644,4972
NUP188,1616,1079,2111,1848,1739,561,751,1143,3267,1229,1926,2666,1510,1607,1880,3715,2604,1783,2693,1722,2212,1165,992,1123,2035,1494,626,1608,1095,1814,1260,3055,4547,1842,4967,488,519,739,538,770,672,596,818,535
SEMA4G,613,1982,872,2906,1160,347,906,2325,106,1768,1531,7874,3842,2669,3913,1907,1488,2563,4168,7199,1949,1910,1896,1842,1223,2056,3578,2112,1776,3050,1044,9221,1893,2318,202,1533,1023,1188,1287,1483,1564,2055,1676,984
TDRD1,23,4,13,1,1,0,3,1,9,1,4,94,1,24,13,4,18,7,597,79,2,0,4,1,1,3,6,4,19,2,652,43,25,23,269,47,7,11,0,28,12,82,32,17
CREM,891,594,775,637,628,613,633,656,727,346,477,703,813,1232,947,501,1012,737,1253,1054,771,988,691,439,1314,767,737,646,723,515,627,1114,1390,1403,1337,451,633,1073,507,609,520,752,554,1152
BRPF3,1770,2121,1651,2093,2276,1172,777,2000,527,1157,893,4159,3152,3719,2299,2069,3360,3022,5577,3494,1762,1710,1646,1503,1070,2027,1582,2504,1910,3414,3188,3795,4471,1374,967,742,645,1114,780,710,683,1008,1302,864
PGC,71,17,397,207,4,1,5,4,11,5,5,11,10,13,87,955,18,3,65,11,25,47,159,18171,2,5,3,6,6,11,38,2,3,109,1,0,0,1,0,0,0,0,0,0
ZNF184,391,259,358,194,346,222,172,201,294,589,95,697,502,489,242,490,426,470,341,654,272,192,223,95,134,511,272,460,399,399,410,538,465,317,312,66,81,79,84,101,78,109,87,78
HNRNPH3,3094,3332,4246,4108,3004,2294,2642,3276,4484,2917,3535,6302,4901,3950,3231,6107,5165,3067,5238,3823,2938,2868,2873,1566,4002,3808,2633,5410,3237,3043,2308,8361,5080,3759,4379,1425,975,1473,1637,1652,1490,1503,1797,1158
SH3GLB1,6009,5339,6236,3581,5888,5618,2861,6359,2688,2932,4592,5141,5459,5781,2276,2977,8440,6332,6765,6250,5469,3973,4848,683,4446,3922,4379,4901,4055,5728,5688,4658,7153,11540,6473,1653,1159,2166,1407,1571,1510,1860,2157,1895
HSD17B7P2,81,35,89,65,62,57,44,37,288,137,149,121,84,21,234,150,95,26,102,58,77,37,84,30,60,115,72,90,97,51,6,140,33,151,54,40,18,33,24,258,224,137,48,50
MAST3,519,559,619,400,769,198,184,367,2538,415,542,1601,702,1079,839,417,1250,1093,600,1337,331,233,859,760,656,715,393,839,1241,910,732,1241,2410,999,723,570,389,299,323,524,383,518,648,288
MYO9B,4171,2342,5056,2714,4598,1714,2937,2371,10665,4767,3497,4025,5632,4583,2861,2093,5383,5860,5419,6092,3453,2291,3645,968,4238,3623,1971,2886,3338,5575,3867,5928,3423,6902,8093,956,1119,1120,910,1373,1106,1282,1328,1287
PSMD8,4705,6893,7448,5616,5476,3434,7154,7519,4104,5411,6416,4544,6623,8379,6121,3785,5438,4546,10060,6308,6852,8423,8302,4059,16907,6724,3607,5312,4591,4865,7401,8235,6937,7360,5373,2724,2148,2941,2779,2205,2469,3062,3769,2582
PCDH11Y,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1
PRKY,309,0,3,0,479,2,615,0,1,317,555,829,0,1,0,1140,0,654,1725,240,1,0,8,182,1,1,947,4,1,20,996,73,0,245,202,80,62,0,0,177,85,73,0,61
MARCH2,1268,1293,1802,879,1074,717,1570,1348,1551,1205,1550,1246,2218,1706,1178,735,2364,1506,1964,1376,1690,2148,2892,2575,1989,1821,1078,1176,1123,1799,2131,2007,1655,2220,1791,1106,955,966,710,956,777,1193,1280,954
MED15,5231,5263,5395,4940,5555,3715,5151,5488,7428,4639,6215,5992,6042,5116,5498,5164,6876,5697,8856,4541,3564,4877,5463,1325,11879,4302,4402,5939,4324,3281,7120,8605,3931,8089,6340,837,959,1265,961,1242,1114,1019,1212,765
CECR2,60,6,20,2,10,2,0,91,26,5,36,6,11,7,6,9,11,30,159,47,3,7,0,206,6,66,30,5,11,8,19,11,156,29,10,405,249,327,512,533,308,277,267,311
P2RX6,38,4,65,7,3,1,11,13,69,1,5,9,30,14,40,14,9,11,17,21,4,11,6,2,1,12,5,38,4,7,15,50,17,21,3,21,21,12,18,11,33,18,13,5
GSTT2,2,0,6,0,1,0,0,5,0,0,3,23,14,2,0,3,10,3,2,15,1,7,0,1,3,5,2,10,1,3,3,0,2,2,1,3,8,6,0,4,1,2,9,1
PRODH,109,256,35,301,167,130,49,24,78,144,67,76,397,311,45,81,245,242,453,248,40,105,678,595,71,392,737,374,190,89,321,35,41,97,7,497,24,65,81,304,32,66,277,62
CRYBB2P1,359,229,537,280,400,324,291,445,814,700,618,493,888,458,286,936,357,944,904,442,352,590,551,87,251,511,507,467,448,465,341,688,579,663,784,121,101,133,94,128,190,96,132,123
HIRA,355,490,576,392,473,357,1187,417,736,829,824,516,698,596,527,996,337,830,714,474,385,1391,787,388,609,625,544,550,404,370,569,610,897,497,712,370,226,238,240,276,199,204,330,283
SRRD,724,620,868,301,646,431,174,857,375,371,441,753,609,856,598,633,906,875,1004,634,344,568,732,145,501,576,345,586,783,558,880,1022,469,951,563,183,166,231,200,184,202,271,292,194
MICALL1,2066,1245,2379,1376,2413,809,891,1407,1309,1230,1001,2603,2229,2230,1535,2057,1438,1947,2981,4092,1919,2103,2687,861,1902,1375,1784,2295,1662,1612,2430,3761,1853,1782,4068,313,313,694,242,458,287,441,581,328
TTC28,971,1196,874,206,992,806,1347,783,662,409,869,1097,1188,1588,923,439,1172,1468,996,2485,590,1988,222,119,461,809,1564,1739,329,2678,2109,1024,782,920,759,350,413,728,450,466,377,464,523,413
SLC16A8,43,73,47,33,24,22,26,63,16,58,79,315,170,181,164,53,129,41,177,140,13,15,20,71,16,71,169,310,210,131,60,121,31,30,14,15,4,6,4,27,13,10,15,7
TPTEP1,22,10,55,9,361,8,456,11,26,4,3,26,3,1,20,823,49,30,123,7,0,6,13,11,17,8,9,12,16,48,6,15,1,30,4,0,13,3,3,7,1,9,3,5
CBY1,675,1128,839,633,570,487,1301,579,662,1917,982,806,1124,385,522,1018,913,1212,1161,549,1172,1726,709,226,526,957,1062,692,542,451,734,1378,945,1125,1221,293,256,229,245,263,323,254,350,207
XBP1,11970,11032,9894,8967,9327,6039,3354,16972,4038,6059,7563,8813,5772,14932,7147,19099,4999,19151,17290,17145,2832,8745,22273,7564,4042,13135,22568,11588,5723,4119,9241,12403,11845,10542,6407,17129,13172,16828,14531,15058,17579,19342,12612,15951
JOSD1,3845,3184,5702,4299,3569,4205,1480,6301,2134,3721,7362,4358,5887,5092,3921,5188,4137,4534,6023,3709,3635,3902,4932,985,3606,3044,4083,3545,4352,3128,3995,6961,5964,6359,5179,773,743,2742,1056,1126,963,1090,1182,1775
RAB36,512,98,316,522,1405,1019,4577,1257,167,1918,1188,1461,1778,877,1180,109,2081,2303,1832,1880,888,2395,557,70,900,1801,1269,1272,1657,851,2159,2475,710,1256,1051,21,37,42,43,52,40,20,26,33
SUN2,5408,4842,7705,3167,3486,2687,881,4969,6496,1600,3307,5038,6040,4054,3811,2754,6435,4631,7900,4639,3935,4963,2456,2587,3809,4529,2748,3346,5574,1932,2822,11765,8106,5150,5308,3319,2868,6838,4220,4019,4210,4781,4514,4776
C22ORF31,2,0,2,0,1,0,1,2,5,0,0,1,5,0,0,13,1,0,0,2,0,1,0,0,0,4,0,0,0,0,1,8,3,1,1,0,3,1,0,3,1,0,1,0
AP1B1,6327,4147,6955,6685,5859,3332,2342,8806,11751,3512,8519,4391,5059,5089,5591,5016,4657,6136,9493,4296,3388,6967,10104,2771,4802,4770,3527,4289,4055,3695,7122,6028,9518,6512,8434,2194,2193,2381,1781,2474,2151,3050,3690,2467
APOL4,378,259,524,1083,300,40,38,213,280,58,75,146,67,300,134,328,203,171,274,179,131,309,47,21,124,244,233,68,102,1,143,73,67,115,505,75,163,43,131,57,48,77,72,57
KCTD17,1143,1013,850,490,1155,573,1111,1262,1239,2559,1603,2129,2551,2236,581,391,1974,1464,3335,1073,3108,7126,3101,270,1232,928,1104,1850,1214,803,1284,1314,2264,1842,2278,59,142,104,79,135,145,47,57,75
BRD1,1878,1889,2574,2148,1799,1263,671,1696,2083,2108,1420,2677,2858,1929,1807,3637,1884,3982,3450,2830,1868,957,1249,431,1075,1716,1595,2130,2294,1731,1790,3618,3938,2682,1549,752,468,967,661,857,732,844,891,590
ABHD4,2396,816,2424,3418,2436,841,864,1696,841,3305,1767,2171,2070,1529,1313,2295,3608,2349,3721,2341,3971,407,2187,906,3230,1807,2546,2289,1364,2482,2458,4486,3332,1692,1311,573,512,500,630,714,643,897,842,460
SDR39U1,166,99,111,125,102,86,28,92,399,118,153,138,168,63,149,210,134,211,174,179,148,62,107,72,197,175,148,227,90,139,118,302,218,160,49,68,37,54,85,100,59,73,81,64
CDKL1,193,147,167,103,66,156,63,183,227,118,213,500,92,379,252,225,399,281,268,462,112,25,454,133,346,108,120,334,467,162,774,353,1184,264,128,49,44,53,50,85,54,68,73,62
