"gene","cancer","value","type"
"CTD-2298J14.2","PAAD",0.633699633699634,"ES"
"LINC00461","PAAD",0.595419847328244,"ES"
"LINC01197","PAAD",0.687943262411348,"ES"
"LINC01158","PAAD",0,"ES"
"DPP10-AS1","PAAD",0.636029411764706,"ES"
"SNHG18","PAAD",0.375,"ES"
"DIO3OS","PAAD",0,"ES"
"RP11-74E22.3","PAAD",0,"ES"
"LINC01018","PAAD",0,"ES"
"CERS3-AS1","PAAD",0.809677419354839,"ES"
"RP3-412A9.16","PAAD",0,"ES"
"DNM3OS","PAAD",0,"ES"
"BC070363","PAAD",0.210810810810811,"ES"
"FGF14-IT1","PAAD",0,"ES"
"MIR4666A","SKCM",0,"ES"
"LINC00941","SKCM",0,"ES"
