id,GS1,GS2,GS3,GS4,GS5,GS6,GS7,GS8,GS9,GS10,GSH_mean,GSL_mean,Mean_abundance,log2fc,Pvalue,FDR
K01955,0.000692579,0.000657756,0.00071563,0.000773313,0.000688731,0.000867284,0.000834112,0.000713502,0.000825436,0.000829674,0.0007056018,0.0008140016,0.0007598017,0.206177389017712,0.0317460317460317,0.135276304290389
K01972,0.000320347,0.000268056,0.000351879,0.000360441,0.000434103,0.000415384,0.00044106,0.000618186,0.000456366,0.000440132,0.0003469652,0.0004742256,0.0004105954,0.450782575280119,0.0158730158730159,0.0994828565450034
K02012,0.000728072,0.000416347,0.000551016,0.000310516,0.000583069,0.000301237,0.000372888,0.000158294,0.000253941,0.000352813,0.000517804,0.0002878346,0.0004028193,-0.847166084120532,0.0317460317460317,0.135276304290389
K02013,0.000502776,0.000532071,0.000522958,0.000406228,0.000791084,0.000354331,0.000382619,0.000263347,0.00027256,0.000356122,0.0005510234,0.0003257958,0.0004384096,-0.758145580749158,0.00793650793650794,0.0907652866415753
K02015,0.000649015,0.000684505,0.000732106,0.000498536,0.001100871,0.00031089,0.000467323,0.000245693,0.000233381,0.000305684,0.0007330066,0.0003125942,0.0005228004,-1.22953517822559,0.00793650793650794,0.0907652866415753
K02016,0.000465536,0.000601228,0.000538317,0.00048341,0.000806383,0.000320911,0.000400967,0.000247484,0.000284401,0.000368495,0.0005789748,0.0003244516,0.0004517132,-0.835497275433636,0.00793650793650794,0.0907652866415753
K02035,0.002197259,0.001915979,0.002613265,0.001643678,0.002652604,0.00134107,0.002065371,0.001235627,0.001254754,0.001608451,0.002204557,0.0015010546,0.0018528058,-0.554512323970026,0.0317460317460317,0.135276304290389
K02038,0.000207271,0.000245923,0.000257476,0.000362511,0.000240181,0.00040268,0.000375898,0.000342125,0.000380214,0.000321386,0.0002626724,0.0003644606,0.0003135665,0.472498241571803,0.0317460317460317,0.135276304290389
K02066,0.000419051,0.00051515,0.000387843,0.000478878,0.00041219,0.000523268,0.000552391,0.000536684,0.000599342,0.000607081,0.0004426224,0.0005637532,0.0005031878,0.348987253345491,0.00793650793650794,0.0907652866415753
K02067,0.000399683,0.0005331,0.000359969,0.000406976,0.000352762,0.000448018,0.000593027,0.000755794,0.000649715,0.000800183,0.000410498,0.0006493474,0.0005299227,0.661615331682058,0.0158730158730159,0.0994828565450034
K02111,0.000467481,0.000477767,0.000563902,0.000597996,0.000439177,0.000761132,0.00063223,0.000567773,0.000761512,0.000615754,0.0005092646,0.0006676802,0.0005884724,0.390741821759949,0.0158730158730159,0.0994828565450034
K02115,0.000308685,0.00029715,0.000300756,0.000329311,0.000211814,0.000367631,0.00039241,0.000342867,0.00044333,0.000387154,0.0002895432,0.0003866784,0.0003381108,0.417355562043017,0.00793650793650794,0.0907652866415753
K02274,0.00049871,0.000582569,0.000540674,0.000756255,0.000533716,0.000949875,0.001002561,0.000865084,0.000969976,0.000883982,0.0005823848,0.0009342956,0.0007583402,0.681906371395873,0.00793650793650794,0.0907652866415753
K02275,0.000430799,0.000444029,0.000431275,0.000477456,0.000440954,0.000584354,0.000633216,0.000573528,0.00057155,0.000581012,0.0004449026,0.000588732,0.0005168173,0.404121516564134,0.00793650793650794,0.0907652866415753
K02313,0.000311856,0.000302965,0.000326153,0.000463961,0.000281031,0.000500058,0.000496904,0.000439326,0.00048442,0.000501949,0.0003371932,0.0004845314,0.0004108623,0.523014719858855,0.0158730158730159,0.0994828565450034
K02314,0.000354986,0.000336535,0.000286984,0.000391678,0.00029274,0.000448504,0.000658774,0.000418506,0.000510256,0.000470613,0.0003325846,0.0005013306,0.0004169576,0.592040927793835,0.00793650793650794,0.0907652866415753
K02335,0.000612094,0.000632597,0.00047295,0.000751632,0.000510564,0.000756066,0.000796712,0.000901455,0.000898668,0.000738972,0.0005959674,0.0008183746,0.000707171,0.457527952647341,0.0158730158730159,0.0994828565450034
K02337,0.00059641,0.000566099,0.000502588,0.000724733,0.000575755,0.000844978,0.000808186,0.000806545,0.000833781,0.000880488,0.000593117,0.0008347956,0.0007139563,0.493106273328945,0.00793650793650794,0.0907652866415753
K02342,0.000309027,0.000343918,0.000357145,0.000317112,0.000390375,0.000377738,0.000516838,0.000394429,0.000364491,0.000526975,0.0003435154,0.0004360942,0.0003898048,0.344265025506736,0.0317460317460317,0.135276304290389
K02438,0.000243758,0.000148924,0.00023373,0.000349133,0.000220861,0.000436862,0.000410582,0.000440239,0.000372215,0.000412279,0.0002392812,0.0004144354,0.0003268583,0.792440188834411,0.00793650793650794,0.0907652866415753
K03040,0.000203386,0.00023209,0.000232719,0.000363888,0.000200897,0.000414574,0.000368577,0.000361965,0.000448948,0.000357096,0.000246596,0.000390232,0.000318414,0.662182689227941,0.0317460317460317,0.135276304290389
K03043,0.000970377,0.000964974,0.000917486,0.001110609,0.000904672,0.001398418,0.001312899,0.001030402,0.001333997,0.001155234,0.0009736236,0.00124619,0.0011099068,0.356088001642852,0.0158730158730159,0.0994828565450034
K03046,0.00085327,0.000870688,0.00094592,0.001130567,0.000783305,0.001440498,0.001407575,0.00112677,0.001403642,0.001342783,0.00091675,0.0013442536,0.0011305018,0.552205069201661,0.0158730158730159,0.0994828565450034
K03074,0.000371207,0.000328039,0.000277558,0.00034794,0.000253538,0.000356219,0.000380011,0.000377518,0.000362773,0.000375015,0.0003156564,0.0003703072,0.0003429818,0.230367598214898,0.0317460317460317,0.135276304290389
K03076,0.000231019,0.000246254,0.000313824,0.000380788,0.000291058,0.000450412,0.000481186,0.000398771,0.000445478,0.000485083,0.0002925886,0.000452186,0.0003723873,0.628042766433173,0.00793650793650794,0.0907652866415753
K03106,0.000246243,0.0003373,0.000289704,0.000336039,0.000291769,0.000345702,0.000417914,0.000393621,0.000362324,0.000294497,0.000300211,0.0003628116,0.0003315113,0.273243743629482,0.0317460317460317,0.135276304290389
