,TCGA-GD-A2C5-01,TCGA-CU-A0YN-01,TCGA-BT-A20R-01,TCGA-GC-A3BM-01,TCGA-BL-A13J-01,TCGA-BT-A2LB-01,TCGA-CU-A0YR-01,TCGA-BT-A20W-01,TCGA-GC-A3WC-01,TCGA-BT-A20Q-01,TCGA-GD-A3OP-01,TCGA-BT-A20U-01,TCGA-K4-A3WV-01,TCGA-BT-A2LA-01,TCGA-GD-A3OQ-01,TCGA-BT-A20N-01,TCGA-K4-A54R-01
ENSG00000236337,9,7,22,8,11,1,11,4,12,5,14,2,3,5,7,1,0
ENSG00000236339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236341,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000236343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236345,2,2,2,7,1,5,0,1,0,2,2,2,29,6,19,1,0
ENSG00000236347,52,1,27,31,29,8,24,6,25,0,0,11,0,10,38,30,0
ENSG00000236348,1,1,0,0,0,0,0,0,5,2,4,1,0,30,2,1,0
ENSG00000236349,12,3,7,15,4,11,7,3,9,7,34,8,5,8,17,7,18
ENSG00000236352,2,9,0,1,1,0,0,0,0,2,6,0,0,0,2,0,0
ENSG00000236354,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0
ENSG00000236355,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000236356,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0
ENSG00000236357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236358,3,8,3,12,8,10,4,3,63,6,4,0,11,22,2,0,0
ENSG00000236359,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ENSG00000236360,2,34,17,3,8,0,0,3,24,14,17,26,4,3,2,0,4
ENSG00000236362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236364,28,10,7,30,25,10,16,15,29,4,16,7,9,5,4,23,11
ENSG00000236365,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000236366,0,0,2,2,29,10,1,1,3,2,1,0,5,27,2,3,4
ENSG00000236371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236372,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000236373,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0
ENSG00000236375,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0
ENSG00000236376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000236377,23,1,15,12,3,13,1,4,2,2,14,6,7,5,7,5,1
ENSG00000236378,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000236379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236380,1,0,0,0,0,0,0,1,0,0,0,0,0,32,0,0,0
ENSG00000236382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236383,28,17,9,41,2,10,4,16,60,31,39,12,24,35,10,8,10
ENSG00000236384,9,9,1,83,0,14,1,3,60,14,17,35,1,4,5,0,0
ENSG00000236385,1,0,8,0,0,0,0,1,0,2,0,1,2,0,0,0,1
ENSG00000236386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236388,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,1,0
ENSG00000236389,0,0,0,1,2,0,0,1,0,0,0,12,0,0,2,2,1
ENSG00000236390,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000236391,0,7,2,8,2,4,0,2,3,2,0,0,0,4,1,9,2
ENSG00000236392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236393,4,0,1,8,0,1,7,11,2,46,19,6,0,6,5,0,1
ENSG00000236394,3,0,0,1,0,0,1,1,0,0,0,0,3,1,0,0,1
ENSG00000236395,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000236396,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000236397,5,15,4,83,1,49,56,67,82,19,161,12,9,64,18,90,4
ENSG00000236398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236403,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
ENSG00000236404,6,5,26,42,5,8,6,3,36,19,28,8,99,14,18,22,8
ENSG00000236405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236408,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000236409,40,4,15,13,18,44,19,9,11,5,21,4,17,9,20,3,4
ENSG00000236411,2,1,2,36,2,3,5,13,5,3,12,1,1,41,1,1,1
ENSG00000236412,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
ENSG00000236413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236417,0,0,0,0,0,0,4,0,0,0,11,0,0,5,0,0,0
ENSG00000236420,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
ENSG00000236423,43,9,11,33,7,18,5,48,21,3,59,14,68,109,46,18,14
ENSG00000236424,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0
ENSG00000236425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236426,1,4,2,0,0,4,1,2,2,0,1,0,0,3,3,0,0
ENSG00000236427,0,21,0,0,3,2,0,2,7,0,0,1,2,6,16,10,0
ENSG00000236429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236430,1,0,0,0,1,1,0,0,2,1,5,1,0,1,1,0,0
ENSG00000236431,9,3,13,38,22,16,0,13,41,7,30,0,4,46,22,20,0
ENSG00000236432,20,20,27,29,12,46,16,19,33,25,25,30,18,137,22,3,8
ENSG00000236433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236434,4,4,4,1,1,2,2,0,3,9,3,0,2,1,2,1,2
ENSG00000236435,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236437,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0
ENSG00000236438,12,2,4,0,18,4,0,2,77,3,12,16,17,20,0,2,2
ENSG00000236439,133,46,78,189,36,97,29,48,201,38,285,30,75,195,146,43,283
ENSG00000236440,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
ENSG00000236442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236444,13,8,14,5,8,8,11,5,5,7,2,5,5,19,5,13,12
ENSG00000236445,0,0,3,0,1,0,0,0,3,1,0,0,1,2,0,0,0
ENSG00000236446,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0
ENSG00000236447,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000236449,535,3,178,419,119,344,54,27,69,9,5,0,570,220,1,206,56
ENSG00000236450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236451,1,3,0,4,28,2,1,2,3,13,2,2,7,0,1,1,1
ENSG00000236452,1,0,0,0,0,0,0,0,23,0,1,2,0,0,0,0,0
ENSG00000236453,0,0,2,0,0,0,0,0,1,0,0,0,1,1,5,0,0
ENSG00000236456,28,64,32,47,29,46,28,13,48,39,57,31,39,59,29,56,20
ENSG00000236457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236459,1,3,17,3,8,3,13,0,2,0,17,0,1,8,14,0,0
ENSG00000236460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236461,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0
ENSG00000236463,0,2,0,0,0,1,0,1,7,0,1,0,0,1,0,0,2
ENSG00000236464,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
ENSG00000236466,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
ENSG00000236467,1,2,6,0,1,1,0,2,0,0,0,0,1,19,0,0,1
ENSG00000236468,17,2,7,2,1,2,3,1,12,0,4,2,2,7,2,3,1
ENSG00000236469,0,0,0,0,0,0,0,0,2,2,3,0,2,0,0,2,0
ENSG00000236471,1,4,2,3,0,3,0,1,4,1,5,0,1,25,1,5,0
ENSG00000236472,1,3,2,0,3,0,0,3,1,0,2,0,4,1,3,0,3
ENSG00000236473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236474,1,2,2,2,1,0,0,2,1,1,3,1,2,1,2,0,0
ENSG00000236475,1,0,0,1,2,1,0,5,1,0,1,0,3,5,1,0,0
ENSG00000236476,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000236477,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236478,3,2,2,0,0,0,1,1,1,3,1,0,2,2,2,2,0
ENSG00000236480,8,8,12,3,9,3,2,3,14,5,5,3,14,3,21,1,1
ENSG00000236481,1,19,4,5,7,16,3,10,17,22,2,6,2,1,10,2,29
ENSG00000236483,3,0,4,1,2,0,0,6,2,1,3,0,13,12,2,1,2
ENSG00000236484,2,0,0,1,2,0,0,0,2,0,2,0,3,0,0,0,0
ENSG00000236485,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ENSG00000236487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236489,3,0,1,1,1,2,1,0,0,0,1,0,2,2,0,0,0
ENSG00000236491,0,1,0,1,0,0,0,0,1,0,0,0,9,6,0,0,0
ENSG00000236493,7,9,8,6,2,11,3,5,4,7,11,4,3,2,4,4,0
ENSG00000236494,4,1,0,7,0,0,1,1,5,1,5,0,1,5,1,0,1
ENSG00000236495,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236496,52,41,61,1,0,33,23,19,45,14,12,7,51,93,0,6,22
ENSG00000236497,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
ENSG00000236498,21,16,18,19,35,14,3,25,33,5,14,4,26,17,6,24,11
ENSG00000236499,52,3,15,34,7,26,0,41,56,14,2,7,24,23,14,12,3
ENSG00000236500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ENSG00000236501,0,1,3,0,0,1,4,4,1,5,8,0,0,0,0,0,2
ENSG00000236502,0,0,87,3,2,0,3,8,1,0,126,0,68,22,0,1,3
ENSG00000236503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236504,0,0,0,0,0,0,0,1,0,1,0,0,0,18,1,0,0
ENSG00000236505,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000236507,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000236508,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
ENSG00000236509,0,2,1,0,0,0,0,1,2,3,1,0,0,0,0,0,2
ENSG00000236510,1,1,1,1,1,0,0,6,2,0,4,2,2,0,0,0,0
ENSG00000236511,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000236512,2,0,0,1,1,1,1,2,0,0,2,0,2,0,2,0,0
ENSG00000236513,0,0,4,0,1,0,0,0,0,0,0,0,0,5,0,0,0
ENSG00000236514,21,8,17,11,10,4,3,4,13,5,15,3,9,8,7,4,3
ENSG00000236516,0,0,7,1,0,2,0,1,75,0,1,2,59,61,0,0,1
ENSG00000236519,11,8,8,11,6,7,4,15,10,5,11,3,10,144,6,14,4
ENSG00000236520,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ENSG00000236521,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236523,0,0,3,0,0,0,1,0,2,0,1,0,5,1,2,0,1
ENSG00000236525,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
ENSG00000236526,11,4,6,36,5,6,8,1,19,15,43,10,12,1,7,1,0
ENSG00000236527,2,2,2,0,1,1,0,0,2,0,2,0,3,60,1,1,0
ENSG00000236528,3,1,0,3,0,4,2,6,3,0,2,0,4,1,0,2,2
ENSG00000236529,16,2,9,69,13,3,10,17,18,22,7,0,20,6,9,9,9
ENSG00000236530,0,2,0,0,0,0,1,0,0,0,0,0,1,3,3,0,0
ENSG00000236531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236532,1,0,0,1,0,1,0,2,34,2,7,1,8,153,0,0,0
ENSG00000236533,0,1,3,0,0,2,1,1,5,0,1,1,0,3,0,0,0
ENSG00000236534,18,4,16,9,2,9,2,7,17,5,11,1,13,17,7,5,15
ENSG00000236535,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0
ENSG00000236536,1,4,2,0,1,0,0,0,0,0,1,0,3,39,0,1,0
ENSG00000236538,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ENSG00000236539,7,3,6,0,0,1,1,1,6,2,6,0,12,11,4,0,5
ENSG00000236540,230,80,57,127,40,145,76,85,200,73,121,67,120,241,89,95,74
ENSG00000236541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236542,1,5,4,6,0,3,0,2,2,0,7,1,13,101,3,0,1
ENSG00000236543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236544,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
ENSG00000236545,3,4,1,4,0,3,0,5,2,1,5,1,1,2,0,1,1
ENSG00000236546,214,4,8,12,10,35,26,129,2,6,17,1,3,1,6,14,5
ENSG00000236548,6,49,6,11,27,3,5,0,202,20,9,44,1,43,33,13,0
ENSG00000236549,1,3,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0
ENSG00000236550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236552,686,156,704,563,171,762,127,148,687,157,443,124,283,683,1042,197,496
ENSG00000236554,0,0,0,2,0,1,0,3,19,4,0,1,0,0,0,1,0
ENSG00000236555,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236559,4,12,2,1,1,0,7,1,2,3,3,0,0,2,0,0,1
ENSG00000236562,2,3,4,7,0,2,0,0,19,1,1,0,1,7,0,0,2
ENSG00000236564,2,0,1,0,0,3,0,0,5,0,1,0,0,1,0,0,0
ENSG00000236565,17,12,29,5,11,34,8,10,12,13,10,5,31,30,17,10,15
ENSG00000236567,2,2,1,3,1,0,1,1,2,0,2,0,2,0,2,5,2
ENSG00000236569,0,0,0,0,0,2,1,3,1,1,2,1,0,0,0,0,0
ENSG00000236570,2,3,8,1,2,2,2,1,1,0,1,0,0,26,3,0,0
ENSG00000236571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236572,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236574,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000236576,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2
ENSG00000236577,5,12,2,1,2,6,3,4,11,1,9,0,11,6,0,1,6
ENSG00000236580,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0
ENSG00000236581,8,0,11,9,1,10,1,2,3,1,12,4,5,10,2,2,4
ENSG00000236582,1,0,1,0,1,0,0,1,1,0,0,0,1,3,0,0,0
ENSG00000236583,0,2,1,1,3,1,3,4,3,1,5,0,1,1,4,1,1
ENSG00000236590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236591,5,7,3,2,1,2,3,6,3,3,0,1,1,3,3,1,1
ENSG00000236592,3,0,14,1,1,2,0,0,6,2,2,0,3,0,3,0,0
ENSG00000236594,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000236595,0,0,1,2,0,0,0,0,0,0,1,0,2,31,0,1,0
ENSG00000236596,0,0,0,0,1,0,0,0,0,0,0,0,0,23,1,0,0
ENSG00000236597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236601,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000236603,18,14,12,12,4,8,5,1,29,4,2,5,22,27,17,13,11
ENSG00000236604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236605,0,0,0,0,0,0,0,3,1,0,0,0,2,1,2,0,0
ENSG00000236606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236607,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
ENSG00000236608,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
ENSG00000236609,380,188,369,2234,312,1940,409,716,127,1055,1241,265,661,5492,123,1226,625
ENSG00000236610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236611,0,1,1,0,1,1,0,0,1,1,2,0,1,2,3,0,1
ENSG00000236612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000236617,51,22,24,9,6,6,5,16,5,5,29,3,8,74,10,18,3
ENSG00000236618,320,230,190,141,121,124,218,170,159,49,224,107,206,599,226,126,92
ENSG00000236620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236627,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
ENSG00000236634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236636,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ENSG00000236637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236641,11,1,1,7,1,1,0,2,4,1,2,0,10,9,0,0,0
ENSG00000236643,6,2,20,1,3,8,3,6,15,3,6,2,13,28,5,3,0
ENSG00000236646,0,6,1,1,0,3,0,1,0,3,0,0,3,1,0,1,0
ENSG00000236647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236648,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ENSG00000236651,0,4,0,4,0,0,0,3,0,0,0,4,2,3,8,2,3
ENSG00000236653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236654,0,1,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0
ENSG00000236655,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000236656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236658,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ENSG00000236660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236662,2,0,1,3,2,0,2,2,1,0,7,1,7,0,1,1,0
ENSG00000236663,9,9,2,6,0,7,1,2,0,0,0,2,0,12,0,29,23
ENSG00000236664,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ENSG00000236665,0,0,0,0,0,0,1,0,0,0,2,1,0,2,0,0,0
ENSG00000236666,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236667,0,0,0,0,0,1,1,0,1,0,4,0,0,1,0,0,0
ENSG00000236668,0,0,2,0,0,0,0,2,2,0,0,0,0,53,0,0,0
ENSG00000236670,26,16,7,3,7,13,17,18,14,12,1,3,9,11,5,12,16
ENSG00000236671,5,1,2,7,1,5,2,1,9,1,58,3,11,8,4,2,1
ENSG00000236673,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0
ENSG00000236674,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000236675,145,426,206,170,186,127,107,89,150,86,445,28,195,114,117,159,56
ENSG00000236676,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000236677,0,1,0,0,1,0,0,0,4,0,2,0,0,0,0,0,0
ENSG00000236678,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236680,5,0,2,4,0,3,1,2,1,0,4,0,2,4,0,0,2
ENSG00000236681,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000236682,87,56,41,29,48,160,38,24,205,47,76,19,46,60,64,18,7
ENSG00000236683,2,5,4,6,3,5,2,1,7,1,3,1,5,11,12,3,1
ENSG00000236686,1,0,0,1,2,1,0,2,3,0,1,0,2,2,1,0,0
ENSG00000236687,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236689,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236690,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236691,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
ENSG00000236692,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000236695,0,1,2,2,0,1,1,0,3,0,0,0,2,4,0,0,0
ENSG00000236698,10,4,31,8,12,8,10,5,20,10,7,10,37,20,11,13,22
ENSG00000236699,15,6,38,4,5,10,5,4,22,6,378,42,46,29,41,2,3
ENSG00000236700,0,6,16,3,1,1,19,0,56,15,0,6,4,1,5,0,0
ENSG00000236701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236703,0,0,4,0,0,0,1,0,0,1,0,1,0,2,0,0,0
ENSG00000236704,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ENSG00000236708,3,7,1,5,3,2,0,19,12,5,5,0,8,6,1,6,1
ENSG00000236709,0,0,1,0,0,0,1,1,0,0,2,1,0,1,0,0,0
ENSG00000236710,1,5,1,2,12,3,2,5,1,3,5,1,1,24,1,1,0
ENSG00000236711,3,1,1,2,0,0,0,0,5,0,6,0,0,6,0,0,0
ENSG00000236712,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0
ENSG00000236713,0,0,0,1,0,1,0,2,6,0,0,1,1,0,0,0,0
ENSG00000236714,0,0,4,9,0,0,8,9,7,14,10,0,10,1,7,0,0
ENSG00000236716,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236717,0,0,0,0,0,1,0,0,0,0,4,0,0,0,4,1,0
ENSG00000236718,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0
ENSG00000236719,3,0,1,0,0,0,0,3,1,3,6,0,1,3,0,0,3
ENSG00000236720,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000236722,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0
ENSG00000236723,26,18,12,10,7,12,2,24,13,5,29,6,8,64,9,13,10
ENSG00000236724,0,1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,1
ENSG00000236731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236732,5,0,0,4,2,4,0,3,0,2,5,2,1,0,1,1,0
ENSG00000236733,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236735,16,2,11,5,4,5,1,6,3,0,3,2,3,21,4,1,0
ENSG00000236736,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236739,2,0,4,0,0,0,0,0,0,1,0,1,1,0,2,0,2
ENSG00000236740,1,22,0,54,35,2,1,3,192,2,0,28,10,0,66,16,18
ENSG00000236741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236743,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236744,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0
ENSG00000236745,0,1,1,0,0,3,0,2,0,0,0,0,1,0,2,0,0
ENSG00000236747,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ENSG00000236748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236751,17,2,28,2,1,23,7,0,6,0,20,5,7,1,10,1,13
ENSG00000236753,74,56,55,130,144,67,43,45,110,69,176,31,149,159,82,27,46
ENSG00000236754,2,0,3,2,0,1,5,5,9,0,2,3,5,8,2,2,3
ENSG00000236756,3,9,3,10,1,0,7,4,34,1,8,3,3,16,4,2,3
ENSG00000236758,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0
ENSG00000236760,0,0,0,2,0,0,1,2,3,1,0,0,0,0,1,1,0
ENSG00000236761,7,3,1,1,4,7,0,0,2,3,1,1,10,4,6,0,0
ENSG00000236762,3,2,10,2,1,4,0,1,8,0,0,2,0,6,0,3,0
ENSG00000236763,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000236764,0,2,0,0,0,1,0,0,0,0,0,0,2,2,0,0,1
ENSG00000236768,4,2,5,8,1,1,2,2,4,1,2,3,3,8,1,2,4
ENSG00000236769,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
ENSG00000236770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236772,11,4,4,64,7,9,3,15,3,7,42,8,9,0,10,1,1
ENSG00000236773,14,2,10,0,1,5,7,3,6,0,8,2,2,7,5,0,0
ENSG00000236775,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
ENSG00000236776,0,0,1,1,0,1,0,0,0,1,0,0,2,0,0,0,0
ENSG00000236777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000236778,60,88,33,90,28,57,22,52,328,70,113,49,74,243,58,43,22
ENSG00000236779,0,0,3,0,0,0,1,2,0,0,1,1,1,7,0,0,1
ENSG00000236780,1,1,2,7,5,0,0,11,7,3,1,3,13,22,1,1,0
ENSG00000236782,25,11,20,21,3,23,4,7,10,6,15,1,4,37,9,3,9
ENSG00000236783,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236786,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0
ENSG00000236790,1,9,1,10,6,9,2,16,33,9,6,2,29,3,1,2,6
ENSG00000236791,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
