Protein	Count	Glycan
Q99LR1	3	HexNAc(6)Hex(4);HexNAc(2)Hex(8);HexNAc(6)Hex(3)
Q99L43	1	HexNAc(2)Hex(6)
Q99KY4	1	HexNAc(4)Hex(3)Fuc(1)
Q99KW9	4	HexNAc(6)Hex(4);HexNAc(2)Hex(9);HexNAc(5)Hex(4);HexNAc(2)Hex(8)
Q99KF1	11	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(4)Hex(3)Fuc(1);HexNAc(2)Hex(6);HexNAc(3)Hex(3)Fuc(1);HexNAc(2)Hex(5);HexNAc(2)Hex(3)Fuc(1);HexNAc(4)Hex(4);HexNAc(2)Hex(4);HexNAc(2)Hex(3)
Q99JY8	1	HexNAc(2)Hex(5)
Q99JP7	13	HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(3)Hex(6)NeuAc(1);HexNAc(2)Hex(9);HexNAc(3)Hex(6)Fuc(1);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(3);HexNAc(2)Hex(2);HexNAc(2)Hex(1);HexNAc(2);HexNAc(1)
Q99JH7	3	HexNAc(6)Hex(3);HexNAc(2)Hex(8);HexNAc(6)Hex(4)
Q99J85	3	HexNAc(2)Hex(8);HexNAc(2)Hex(5);HexNAc(2)Hex(7)
Q99J21	2	HexNAc(2)Hex(5);HexNAc(2)Hex(3)Fuc(1)
Q925H0-2	1	HexNAc(2)Hex(5)
Q925F2	1	HexNAc(2)Hex(5)
Q924Z4	2	HexNAc(2)Hex(5);HexNAc(2)Hex(6)
Q924X6	2	HexNAc(2)Hex(5);HexNAc(6)Hex(3)
Q923L3	6	HexNAc(2)Hex(5);HexNAc(2)Hex(9);HexNAc(2)Hex(6);HexNAc(2)Hex(7);HexNAc(2)Hex(8);HexNAc(2)Hex(4)
Q922P8	2	HexNAc(2)Hex(5);HexNAc(2)Hex(4)
