,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_011046,191.841,181.414,212.89,196.634,175.233,159.696,243.296,178.038,34.491,34.421,41.631,43.053,249.762,205.405,250.775,181.514,155.739,160.277,155.467,147.453
NM_009450,206.549,161.824,184.138,178.949,184.815,146.895,167.075,152.254,129.664,120.113,117.527,100.703,186.258,116.455,220.126,146.531,257.184,160.141,247.68,201.514
NM_011221,153.882,217.896,151.935,181.189,147.998,180.975,136.633,175.559,112.754,98.756,105.36,105.723,166.367,176.333,181.376,174.163,167.765,203.693,165.171,182.133
NM_007952,170.994,171.799,155.182,146.765,172.926,151.088,145.026,132.062,237.583,239.105,211.995,213.55,111.492,98.435,101.227,88.341,187.682,155.595,158.974,135.911
NM_153119,157.816,173.179,220.912,197.001,151.38,169.064,206.531,181,143.358,119.383,143.34,140.764,195.314,149.801,265.228,179.405,194.799,164.547,226.535,181.842
NM_173363,135.344,154.631,135.138,158.897,145.396,173.41,146.198,185.183,122.502,123.242,139.262,123.711,123.015,171.255,134.473,199.278,157.783,146.06,162.067,147.828
NM_009831,151.99,166.439,126.531,140.479,150.242,166.563,130.822,134.465,239.954,229.954,208.956,179.586,127.64,145.888,109.091,115.669,148.941,162.524,116.181,141.044
NM_001110320,214.303,158.446,161.46,119.016,157.64,155.796,120.756,128.412,648.97,685.438,571.673,646.93,10.982,9.025,9.543,9.611,2.189,2.464,2.377,1.784
NR_002847,145.693,193.056,135.403,167.385,173.265,137.467,125.648,157.426,426.774,344.691,374.967,459.674,72.161,66.028,64.97,50.017,196.08,254.023,246.542,323.308
NM_007527,157.577,133,125.666,120.334,166.351,138.522,140.733,127.646,196.075,219.328,179.061,194.357,168.941,193.386,125.241,163.017,144.19,110.437,116.422,102.531
NM_011520,116.367,158.906,90.269,122.943,145.738,154.605,121.918,150.482,292.147,287.229,255.589,275.186,18.301,13.513,14.186,11.825,33.784,55.204,28.548,41.392
NM_019566,113.563,132.007,117.675,117.174,132.645,157.877,145.586,132.445,151.321,151.87,146.369,148.493,137.28,137.032,125.072,130.596,138.715,163.988,130.585,141.815
NM_013640,145.475,145.865,126.456,125.027,144.485,139.499,135.481,120.067,338.743,315.371,320.802,300.437,122.558,150.115,95.801,134.201,118.679,102.161,93.627,83.438
NM_177093,120.263,145.485,115.255,126.528,134.536,143.615,126.565,130.97,227.391,203.442,187.405,186.484,171.856,162.561,174.963,157.239,105.509,115.801,104.821,99.068
NM_153795,121.65,128.521,101.422,110.671,137.25,135.284,122.216,118.915,157.025,153.038,151.759,152.97,144.297,123.138,122.041,106.531,112.431,117.802,100.896,99.716
NM_153680,116.366,119.96,95.791,105.163,129.485,138.396,107.532,128.347,148.78,145.584,138.738,145.308,121.473,130.477,100.643,104.154,115.245,129.963,109.62,106.925
NM_146119,151.793,170.202,129.295,146.008,142.675,125.075,121.681,108.37,76.75,77.625,70.674,74.057,144.706,143.083,124.519,120.835,186.652,144.601,160.292,108.381
NM_011355,121.175,122.81,118.447,110.186,135.776,129.976,141.583,110.18,185.228,177.771,171.712,181.513,156.532,132.317,124.325,110.272,165.477,141.589,157.856,118.208
