,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_007807,70.353,123.828,121.254,162.266,76.373,118.115,133.801,149.615,341.155,266.068,383.894,292.17,177.649,294.868,256.409,325.096,440.373,687.74,486.957,650.911
NM_009373,100.035,109.328,149.821,150.094,112.752,81.514,161.197,114.21,54.433,47.594,83.572,69.257,51.077,44.924,85.034,58.765,30.484,25.18,61.481,39.076
NM_026636,98.241,84.344,77.316,71.618,102.876,89.532,83.723,75.734,83.715,77.178,66.593,61.746,84.061,79.583,67.78,67.705,62.258,54.814,51.968,48.45
NM_017463,99.932,102.138,78.522,89.652,101.049,88.069,68.43,68.665,73.108,65.5,62.532,57.406,96.387,69.814,67.502,58.689,63.228,64.148,44.321,52.551
NM_145538,116.86,123.204,94.112,100.986,94.608,94.424,78.956,81.271,64.435,59.106,48.163,52.934,56.828,54.601,43.114,42.014,73.296,67.33,59.122,52.438
NM_019993,84.712,81.321,68.214,70.415,97.997,88.964,78.58,73.468,47.568,55.819,37.463,45.671,50.227,43.668,38.05,36.911,29.193,27.279,24.986,24.32
NM_028617,106.691,84.377,84.457,76.476,97.159,88.331,75.782,77.602,81.689,86.106,71.805,79.626,93.272,80.994,69.568,72.165,67.297,62.199,56.993,50.397
NM_026378,90.639,92.857,73.792,80.746,85.727,99.577,66.431,68.276,65.163,63.462,53.934,58.264,72.102,69.617,60.1,60.141,54.55,46.978,54.848,50.915
NR_033596,145.052,69.282,107.589,46.971,128.467,55.543,107.857,63.821,91.178,83.097,60.852,63.035,102.039,48.665,42.472,45.105,60.41,78.269,97.038,67.039
NM_008323,81.021,78.646,70.767,67.218,93.632,89.908,78.142,72.054,63.515,71.161,50.52,58.392,64.028,55.948,51.589,51.27,78.341,66.932,66.364,58.985
NM_023117,83.144,67.007,59.81,56.554,99.57,81.92,80.889,67.747,42.634,58.671,30.813,46.283,42.67,24.756,33.29,19.066,63.456,58.232,49.682,48.838
NM_026965,126.126,113.48,102.525,91.941,93.244,84.95,75.209,75.914,89.824,76.623,80.141,77.545,102.863,81.488,73.926,75.504,92.13,74.158,83.318,74.38
NM_001302131,80.811,50.658,66.059,38.389,108.075,69.361,83.385,52.736,30.828,53.492,19.68,34.157,28.338,10.167,20.115,8.159,57.788,43.882,48.329,36.985
NM_025516,92.8,103.332,82.83,87.632,85.815,90.436,66.695,68.729,68.509,69.762,59.864,62.303,74.137,77.387,59.929,58.842,71.472,86.905,61.044,71.973
NM_133950,94.404,106.381,79.752,92.058,87.158,89.025,75.094,77.623,56.103,58.605,51.637,53.124,76.658,77.228,62.709,61.023,69.379,83.615,55.738,66.085
NM_153762,88.519,76.081,66.431,66.479,91.629,83.911,77.138,56.875,55.498,53.438,39.239,57.005,26.04,17.806,21.208,17.619,42.56,34.908,29.587,29.244
NM_001038230,72.372,73.243,62.267,61.944,88.686,86.746,76.002,75.628,41.65,54.382,38.604,52.061,58.634,50.867,42.158,41.023,57.009,57.815,45.005,47.919
NM_153743,118.631,192.269,103.947,170.724,81.498,93.1,69.85,87.11,52.002,39.784,42.741,41.594,79.409,81.731,74.346,76.752,71.356,82.924,67.545,71.181
NM_145514,85.213,93.681,77.661,84.967,83.482,88.235,79.37,79.974,75.797,72.151,71.161,73.586,77.281,68.016,73.764,63.724,63.821,70.049,58.748,61.251
NM_146069,65.182,72.433,50.848,62.44,81.388,90.101,65.522,85.394,83.549,76.893,55.319,62.276,45.023,34.922,29.115,27.088,58.591,69.033,50.497,57.275
NM_011122,75.795,65.508,61.054,54.326,90.454,77.298,76.237,66.349,32.533,31.866,30.289,28.258,29.504,28.216,25.225,24.041,38.2,50.633,31.902,40.883
NM_009498,65.305,81.708,66.251,74.99,77.233,88.416,68.903,78.43,62.63,66.947,62.4,59.262,52.802,63.012,49.355,57.761,60.674,68.535,60.788,64.939
NM_144526,76.483,47.384,57.669,37.22,100.433,64.047,67.506,50.654,37.413,63.066,29.672,42.334,21.285,5.91,13.655,2.906,64.57,46.703,51.185,38.133
NM_175116,76.367,55.381,43.75,31.278,96.836,65.603,31.114,30.174,41.63,61.312,23.42,23.96,75.122,53.97,16.248,12.653,17.539,12.276,6.027,4.14
NM_027946,59.007,74.185,50.896,62.779,72.849,88.754,63.955,77.296,52.393,52.43,44.821,50.663,50.969,66.421,48.009,54.355,60.153,66.303,47.91,54.694
NM_001037724,91.839,103.394,81.045,90.319,83.148,77.303,70.144,67.771,68.395,64.581,59.346,65.406,71.509,36.111,62.968,33.786,55.995,56.492,52.053,46.428
NM_001254762,81.462,109.086,75.061,90.195,75.807,84.222,75.565,77.618,70.475,58.635,50.685,57.434,32.536,27.751,24.503,26.182,72.666,71.002,52.203,56.288
NM_024243,96.219,104.065,79.889,87.974,80.409,79.082,65.128,64.948,55.337,65.415,51.286,54.845,61.693,45.44,50.291,40.89,61.86,71.788,51.075,59.234
NM_001083923,106.853,83.689,89.231,74.964,84.107,74.282,63.846,57.506,52.123,60.102,35.857,55.52,86.89,67.087,59.921,50.65,54.842,53.554,41.893,49.214
NM_011653,112.679,84.979,96.036,78.723,86.313,71.501,71.597,54.273,82.447,75.412,71.154,61.645,40.156,27.198,35.556,19.488,61.651,65.172,44.969,51.132
NM_194068,70.452,88.093,60.701,75.643,65.86,90.427,55.161,71.927,17.863,22.009,17.888,13.981,8.612,9.972,9.147,9.101,5.255,8.632,5.757,6.498
NM_001271491,102.297,119.869,118.151,110.4,75.101,80.604,83.144,73.105,90.179,87.888,91.239,84.021,83.834,77.072,88.29,70.488,86.807,93.71,77.011,78.102
NM_016783,84.165,101.1,68.191,88.497,73.966,81.03,64.687,70.354,53.656,58.301,44.722,51.455,68.915,77.031,60.102,71.559,69.383,71.233,55.781,64.562
NM_011906,81.898,117.888,68.418,96.169,70.578,84.392,54.894,65.09,43.731,47.226,30.487,38.543,81.836,76.618,63.137,60.448,36.555,42.364,27.998,29.981
NR_028316,68.254,73.791,36.725,44.955,77.612,76.981,41.727,42.251,41.67,42.154,25.64,23.699,63.219,51.187,35.168,30.24,22.815,27.143,12.188,14.282
NM_007410,69.938,68.604,59.875,60.073,74.095,77.469,58.816,63.847,47.022,47.924,34.056,36.571,49.552,57.647,40.283,47.413,59.55,52.938,50.645,46.681
NM_007875,63.294,78.364,53.522,63.767,70.006,81.498,59.372,60.954,58.991,56.534,51.676,48.482,56.518,58.427,44.163,50.398,49.922,56.627,37.797,43.934
NM_028873,77.928,73.276,59.812,57.669,75.977,75.497,61.456,58.705,60.264,63.406,46.854,46.406,68.405,65.698,56.377,56.602,52.088,55.166,46.782,41.577
NM_198652,61.666,53.734,37.637,36.074,80.018,69.908,52.288,49.636,31.011,33.834,21.28,28.669,54.153,37.08,35.686,21.83,15.7,15.489,12.528,11.856
NM_001252574,93.401,84.793,76.48,75.088,77.067,72.434,60.16,62.673,57.133,51.714,40.924,39.141,82.659,77.564,58.221,61.655,59.485,56.716,51.906,53.223
NM_029976,80.511,63.868,65.085,51.479,76.992,70.683,60.834,57.886,41.624,55.243,29.891,40.659,26.19,22.318,19.282,18.444,32.907,30.394,26.017,25.968
NM_023153,73.411,59.376,63.196,50.395,79.555,65.374,68.611,63.384,51.346,62.743,51.392,50.477,58.756,50.352,51.078,44.087,54.619,42.479,46.419,39.075
NM_019730,116.063,120.704,94.566,87.803,82.209,61.912,68.223,42.388,58.554,65.492,46.791,63.653,63.189,44.825,52.658,40.763,55.398,51.607,48.578,50.501
NM_138753,67.55,69.951,60.215,70.117,67.291,76.392,79.321,80.758,99.107,96.05,95.261,109.98,116.106,115.835,133.28,130.006,107.901,119.617,85.222,98.27
NM_001177362,71.494,74.34,57.783,71.757,68.137,74.985,57.228,57.192,54.185,58.823,45.878,48.34,74.154,66.409,55.266,46.972,44.295,62.768,38.187,52.787
NM_175244,89.55,88.756,67.877,75.846,70.644,72.329,56.273,60.563,49.098,47.361,39.521,43.603,66.922,62.355,47.938,48.582,63.269,64.598,50.525,57.238
NM_001285904,81.132,66.068,71.811,58.823,75.581,66.882,63.724,51.406,55.865,71.643,37.414,43.449,57.501,58.14,43.045,50.693,33.078,34.455,27.577,25.384
NM_001080930,72.024,71.678,67.855,65.546,73.472,68.609,69.359,64.143,48.282,51.874,48.625,46.279,59.912,59.355,62.082,51.289,50.865,53.55,45.805,48.244
NM_001031808,89.753,83.721,73.838,69.317,74.272,67.093,55.251,48.021,44.291,56.986,31.604,45.592,51.203,46.683,35.181,39.531,58.628,42.466,47.796,33.718
