id	GO_0000122	GO_0001525	GO_0007155	GO_0007165	GO_0043547	GO_0045944
Ctrl1_1124	5.358	1.137	2.754	8.239	2.056	7.346
Ctrl1_1125	5.057	1.389	3.002	7.372	2.077	6.774
Ctrl1_1126	5.292	1.568	2.608	7.436	2.075	6.967
Ctrl1_1127	6.585	1.823	2.816	8.213	2.647	8.420
Ctrl1_1128	5.714	1.357	2.971	7.935	2.181	6.737
Ctrl1_1129	5.343	1.493	2.791	7.677	2.348	6.822
Ctrl1_1130	5.394	1.360	2.816	7.355	2.163	6.790
Ctrl1_1131	5.485	1.361	2.820	7.993	2.719	6.892
Ctrl1_1132	5.255	1.659	2.948	7.845	2.544	7.345
Ctrl1_1133	5.047	1.413	2.835	7.022	2.058	6.521
Ctrl1_1134	5.535	1.253	2.818	7.959	2.224	7.120
Ctrl1_1135	5.257	1.461	3.143	8.498	2.136	7.108
Ctrl1_1136	5.590	1.515	3.084	8.391	2.377	7.212
Ctrl1_1137	5.202	1.256	2.554	7.228	2.378	6.763
Ctrl1_1138	5.958	1.495	2.708	7.601	2.283	7.869
Ctrl1_1139	5.463	1.623	2.611	7.235	2.289	6.593
Ctrl1_1140	4.944	1.487	2.891	8.604	1.986	6.277
Ctrl1_1141	4.710	1.199	2.794	7.268	2.237	6.241
Ctrl1_1142	5.630	1.367	2.760	7.732	2.620	7.403
Ctrl1_1143	5.604	1.192	2.688	7.639	2.138	6.641
Ctrl1_1144	6.038	1.726	2.525	7.640	2.883	7.687
Ctrl1_1145	6.184	1.658	3.432	8.741	2.069	6.931
Ctrl1_1146	5.688	1.427	2.868	8.379	2.955	6.924
Ctrl1_1147	5.567	1.320	2.788	8.309	2.057	6.661
Ctrl1_1148	5.662	1.718	3.032	7.758	1.955	6.428
Ctrl1_1149	5.007	1.086	3.023	8.318	2.052	6.432
Ctrl1_1150	6.118	1.705	3.069	8.546	2.221	7.808
Ctrl1_1151	6.272	1.272	2.810	8.378	2.052	7.202
Ctrl1_1152	5.563	1.378	2.823	9.009	2.478	7.016
Ctrl1_1153	6.422	1.203	3.259	8.222	2.623	7.380
Ctrl1_1154	5.499	0.955	2.558	7.821	1.937	6.070
Ctrl1_1155	5.723	1.557	3.050	8.249	2.378	7.205
Ctrl1_1156	6.380	1.718	3.388	8.473	2.601	7.569
