nodeName	altName	nodeAttr[nodesPresent, ]
Taf1d	NA	10
Tars	NA	3
Tax1bp1	NA	20
Tbl2	NA	109
Tbl3	NA	2
Tbr1	NA	97
Tbx21	NA	170
Tceb1	NA	22
Tceb3	NA	22
Tcf12	NA	13
Tcf25	NA	87
Tcp1	NA	33
Tdg	NA	59
Telo2	NA	95
Tex30	NA	132
Tfap4	NA	119
Tfb2m	NA	2
Tfdp1	NA	97
Tfrc	NA	12
Tgfb1	NA	91
Tgfbr1	NA	153
Tgs1	NA	17
Thada	NA	64
Timm10b	NA	93
Timm17a	NA	93
Timm50	NA	55
Timm8b	NA	93
Tipin	NA	11
Tmem199	NA	34
Tnfrsf10b	NA	13
Tnfrsf18	NA	21
Tnfsf11	NA	9
Tnip2	NA	49
Tnrc6a	NA	166
Tomm40	NA	139
Tomm70a	NA	158
Top1	NA	11
Topbp1	NA	142
Tpst1	NA	72
Tpt1	NA	19
Trap1	NA	106
Trappc6a	NA	171
Trex1	NA	1
Trim25	NA	40
Trim27	NA	71
Trim32	NA	4
Trip10	NA	12
Trmt2a	NA	50
Trmt6	NA	125
Trpc4ap	NA	114
Trub2	NA	38
Tsr1	NA	31
Ttc1	NA	4
Ttc27	NA	175
Ttc4	NA	8
Tti1	NA	95
Twistnb	NA	10
Txlna	NA	191
Txlng	NA	191
Txndc9	NA	108
Txnrd1	NA	203
Tyw1	NA	176
Ubap2l	NA	13
Ube2a	NA	4
Ube2j1	NA	4
Ube2o	NA	4
Ube2s	NA	4
Ubiad1	NA	164
Ubn2	NA	150
Ubox5	NA	4
Ubxn2a	NA	30
Uevld	NA	169
Uhrf1	NA	41
Umps	NA	26
Upf1	NA	122
Upf3b	NA	78
Use1	NA	58
Usp1	NA	136
Usp10	NA	85
Usp19	NA	40
Usp33	NA	40
Usp40	NA	49
Usp42	NA	85
Utp11l	NA	2
Utp14a	NA	2
Utp15	NA	2
Utp18	NA	2
Utp3	NA	2
Utp6	NA	2
Vat1	NA	76
Vcpkmt	NA	30
Vhl	NA	4
Vimp	NA	116
Vps37a	NA	169
Vps54	NA	84
Wasl	NA	117
