fromNode	toNode	weight	direction	fromAltName	toAltName
Asb6	Rnf25	1	undirected	NA	NA
Asb6	Stub1	1	undirected	NA	NA
Asb6	Tceb1	1	undirected	NA	NA
Asb6	Trim32	1	undirected	NA	NA
Asb6	Ube2a	1	undirected	NA	NA
Asb6	Ube2j1	1	undirected	NA	NA
Asb6	Ube2o	1	undirected	NA	NA
Asb6	Ube2s	1	undirected	NA	NA
Asb6	Ubox5	1	undirected	NA	NA
Asb6	Vhl	1	undirected	NA	NA
Asf1b	Chaf1b	1	undirected	NA	NA
Asf1b	Hist1h1b	1	undirected	NA	NA
Asf1b	Hist1h1c	1	undirected	NA	NA
Asf1b	Hist1h1e	1	undirected	NA	NA
Asf1b	Mcm2	1	undirected	NA	NA
Asf1b	Rrm2	1	undirected	NA	NA
Asf1b	Ubn2	1	undirected	NA	NA
Asns	Cad	1	undirected	NA	NA
Asns	Ctps1	1	undirected	NA	NA
Asns	Gfpt2	1	undirected	NA	NA
Asns	Ppat	1	undirected	NA	NA
Asxl1	Bmi1	1	undirected	NA	NA
Asxl1	Ezh2	1	undirected	NA	NA
Asxl1	Foxk2	1	undirected	NA	NA
Asxl1	H2afy	1	undirected	NA	NA
Asxl1	H2afy2	1	undirected	NA	NA
Asxl1	Kdm2b	1	undirected	NA	NA
Asxl1	Ubap2l	1	undirected	NA	NA
Atad1	Metap2	1	undirected	NA	NA
Atad1	Mettl23	1	undirected	NA	NA
Atad1	Os9	1	undirected	NA	NA
Atad1	Otud6b	1	undirected	NA	NA
Atad1	Polr1a	1	undirected	NA	NA
Atad1	Rnf145	1	undirected	NA	NA
Atad1	Rnft1	1	undirected	NA	NA
Atad1	Rrm2	1	undirected	NA	NA
Atad1	Ubxn2a	1	undirected	NA	NA
Atad1	Vcpkmt	1	undirected	NA	NA
Atad1	Yod1	1	undirected	NA	NA
Atad3	Fabp5	1	undirected	NA	NA
Atad3	H2-T23	1	undirected	NA	NA
Atad3	Ormdl3	1	undirected	NA	NA
Atg16l2	Gabarapl2	1	undirected	NA	NA
Atp12a	Atp1b3	1	undirected	NA	NA
Atp12a	Ppa1	1	undirected	NA	NA
Atp1a1	Atp1b3	1	undirected	NA	NA
Atp1b3	Bsg	1	undirected	NA	NA
Atp5g1	Atp6ap1	1	undirected	NA	NA
Atp5g1	Atp6ap2	1	undirected	NA	NA
Atp5g1	B4galt5	1	undirected	NA	NA
Atp5g1	Ccdc115	1	undirected	NA	NA
Atp5g1	Grpel1	1	undirected	NA	NA
Atp5g1	Grpel2	1	undirected	NA	NA
Atp5g1	Hspa9	1	undirected	NA	NA
Atp5g1	Kdm5b	1	undirected	NA	NA
Atp5g1	Kdm5c	1	undirected	NA	NA
Atp5g1	Kdm5d	1	undirected	NA	NA
Atp5g1	Ppa1	1	undirected	NA	NA
Atp5g1	Tmem199	1	undirected	NA	NA
Atp5g1	Tomm40	1	undirected	NA	NA
Atp6ap1	Atp6ap2	1	undirected	NA	NA
Atp6ap1	Ccdc115	1	undirected	NA	NA
Atp6ap1	Ppa1	1	undirected	NA	NA
Atp6ap1	Tmem199	1	undirected	NA	NA
Atxn2l	Lsm12	1	undirected	NA	NA
Atxn2l	Pabpc1	1	undirected	NA	NA
Atxn2l	Pabpc4	1	undirected	NA	NA
Atxn7l3	Chd1	1	undirected	NA	NA
Aurkaip1	Cdc27	1	undirected	NA	NA
Aurkaip1	Fzr1	1	undirected	NA	NA
Aurkaip1	Gfm1	1	undirected	NA	NA
Aurkaip1	Hspbp1	1	undirected	NA	NA
Aurkaip1	Mad2l2	1	undirected	NA	NA
Aurkaip1	Mrpl12	1	undirected	NA	NA
Aurkaip1	Mrpl15	1	undirected	NA	NA
Aurkaip1	Mrpl18	1	undirected	NA	NA
Aurkaip1	Mrpl2	1	undirected	NA	NA
Aurkaip1	Mrpl20	1	undirected	NA	NA
Aurkaip1	Mrpl21	1	undirected	NA	NA
Aurkaip1	Mrpl23	1	undirected	NA	NA
Aurkaip1	Mrpl3	1	undirected	NA	NA
Aurkaip1	Mrpl30	1	undirected	NA	NA
Aurkaip1	Mrpl34	1	undirected	NA	NA
Aurkaip1	Mrpl40	1	undirected	NA	NA
Aurkaip1	Mrpl41	1	undirected	NA	NA
Aurkaip1	Mrpl43	1	undirected	NA	NA
Aurkaip1	Mrpl47	1	undirected	NA	NA
Aurkaip1	Mrpl52	1	undirected	NA	NA
Aurkaip1	Mrpl54	1	undirected	NA	NA
Aurkaip1	Mrpl57	1	undirected	NA	NA
Aurkaip1	Mrps12	1	undirected	NA	NA
Aurkaip1	Mrps18b	1	undirected	NA	NA
Aurkaip1	Mrps24	1	undirected	NA	NA
Aurkaip1	Mrps25	1	undirected	NA	NA
Aurkaip1	Mrps33	1	undirected	NA	NA
Aurkaip1	Mrps36	1	undirected	NA	NA
Aurkaip1	Mrps5	1	undirected	NA	NA
Aurkaip1	Mrps6	1	undirected	NA	NA
Aurkaip1	Mrrf	1	undirected	NA	NA
Aurkaip1	Rpl26	1	undirected	NA	NA
Aurkaip1	Rpl27a	1	undirected	NA	NA
Aurkaip1	Rpl3	1	undirected	NA	NA
Aurkaip1	Rpl3l	1	undirected	NA	NA
Aurkaip1	Rpl4	1	undirected	NA	NA
Aurkaip1	Rpl8	1	undirected	NA	NA
Aurkaip1	Rps14	1	undirected	NA	NA
Aurkaip1	Rps2	1	undirected	NA	NA
