"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PEA15",0,0.913632075537531,0.285,0.035,0,"High.ISGs","PEA15"
"FLNA",0,0.913309062998621,0.316,0.048,0,"High.ISGs","FLNA"
"CD48",0,0.908749522269655,0.712,0.331,0,"High.ISGs","CD48"
"CTSH",0,0.904448198082431,0.303,0.045,0,"High.ISGs","CTSH"
"TXNRD1",0,0.89103958993692,0.267,0.037,0,"High.ISGs","TXNRD1"
"TNFRSF1A",0,0.888124573866599,0.265,0.028,0,"High.ISGs","TNFRSF1A"
"BLVRA",0,0.87978537603949,0.297,0.053,0,"High.ISGs","BLVRA"
"GCH1",0,0.879089272322559,0.265,0.039,0,"High.ISGs","GCH1"
"RIT1",0,0.843197936762638,0.26,0.031,0,"High.ISGs","RIT1"
"SFT2D1",0,0.842721594972843,0.468,0.125,0,"High.ISGs","SFT2D1"
"GNB2",0,0.825301690345236,0.41,0.093,0,"High.ISGs","GNB2"
"MGAT1",0,0.815462953893469,0.349,0.071,0,"High.ISGs","MGAT1"
"VPS29",0,0.759420672838666,0.56,0.193,0,"High.ISGs","VPS29"
"LAPTM5",0,0.758141921364314,0.873,0.463,0,"High.ISGs","LAPTM5"
"ARPC2",0,0.753323639308213,0.96,0.698,0,"High.ISGs","ARPC2"
"ARPC3",0,0.729900288278983,0.913,0.554,0,"High.ISGs","ARPC3"
"CD74",0,0.693012594010409,0.946,0.498,0,"High.ISGs","CD74"
"SERF2",0,0.565456617357206,0.976,0.774,0,"High.ISGs","SERF2"
"H3F3B",0,0.465180355897824,0.999,0.975,0,"High.ISGs","H3F3B"
"TMSB4X",0,-0.632518211563658,0.998,0.999,0,"High.ISGs","TMSB4X"
"RPS9",0,-0.792580581251689,0.979,0.955,0,"High.ISGs","RPS9"
"MALAT1",0,-0.825300560588488,1,1,0,"High.ISGs","MALAT1"
"RPS16",0,-1.00308883415667,0.907,0.917,0,"High.ISGs","RPS16"
"EEF1D",0,-1.03683350787291,0.806,0.851,0,"High.ISGs","EEF1D"
"NACA",0,-1.04125150611408,0.779,0.885,0,"High.ISGs","NACA"
"BTF3",0,-1.07555880217724,0.699,0.819,0,"High.ISGs","BTF3"
"RPL8",0,-1.08343203252174,0.943,0.97,0,"High.ISGs","RPL8"
"RPLP1",0,-1.15445602858158,0.994,0.998,0,"High.ISGs","RPLP1"
"RPL37",0,-1.15764447338277,0.539,0.674,0,"High.ISGs","RPL37"
"RPL37A",0,-1.1899508525553,0.499,0.652,0,"High.ISGs","RPL37A"
"RPS28",0,-1.19894662172113,0.723,0.798,0,"High.ISGs","RPS28"
"RPL26",0,-1.20041515016209,0.911,0.964,0,"High.ISGs","RPL26"
"GNB2L1",0,-1.2273642770889,0.786,0.9,0,"High.ISGs","GNB2L1"
"RPS10",0,-1.23552790299664,0.568,0.722,0,"High.ISGs","RPS10"
"RPL27",0,-1.2555338902394,0.736,0.852,0,"High.ISGs","RPL27"
"RPL29",0,-1.2557957444301,0.845,0.921,0,"High.ISGs","RPL29"
