gene,immune_cells,cor,p.value
TNFSF9,pDC,0.0105526659521081,0.789250638711886
TNFSF9,T.cells,0.242481394970223,4.52309005692479e-10
TNFSF9,T.helper.cells,-0.0794808159125624,0.0437718435073885
TNFSF9,Tcm,-0.16346557804963,3.06877942420383e-05
TNFSF9,Tem,-0.121306912496891,0.00204347942881093
TNFSF9,TFH,0.0405623839269406,0.304052782703691
TNFSF9,Tgd,-0.0616465241715106,0.118085328637128
TNFSF9,Th1.cells,0.38440252892749,4.15831780367548e-24
TNFSF9,Th17.cells,0.0732728917886461,0.0631202246913959
TNFSF9,Th2.cells,0.163729719223,2.97816988761223e-05
TNFSF9,TReg,0.108987666516683,0.00562847054007376
SP3,aDC,-0.151841233192737,0.000109613055743786
SP3,B.cells,0.0348815942347823,0.376833947393551
SP3,CD8.T.cells,0.00280154510593294,0.943431767280912
SP3,Cytotoxic.cells,-0.294616359196004,2.31077492753418e-14
SP3,DC,-0.19708653822546,4.62363061385055e-07
SP3,Eosinophils,0.067377823628348,0.0875477706447652
SP3,iDC,-0.251913379573944,8.85549492225824e-11
SP3,Macrophages,0.0749214110477168,0.0573977022839241
SP3,Mast.cells,-0.0609747893893696,0.122153091929731
SP3,Neutrophils,-0.0810645965809856,0.0397268458566894
SP3,NK.CD56bright.cells,-0.407685501188376,3.49926415471647e-27
SP3,NK.CD56dim.cells,-0.124408627700074,0.00155991015196003
SP3,NK.cells,-0.0558540603263751,0.156843199201725
SP3,pDC,-0.15825807090793,5.4885583398183e-05
SP3,T.cells,-0.138671102457952,0.000416649992048863
SP3,T.helper.cells,0.551203263874737,1.8525340095349e-52
SP3,Tcm,0.671769558837209,1.00695116369764e-85
SP3,Tem,0.199423514192112,3.35537868725028e-07
SP3,TFH,0.0281698281930404,0.475460379360183
SP3,Tgd,0.412846464454874,6.74165829472471e-28
SP3,Th1.cells,-0.0523860786592268,0.184264432068079
SP3,Th17.cells,-0.284088319420604,2.02313633062743e-13
SP3,Th2.cells,0.178508849667026,5.16666219787919e-06
SP3,TReg,-0.220861131367704,1.4785924605709e-08
